idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,1.496857,1.056893,1,1,0,0
1,1,19.027291,2.295726,1,1,0,0
2,1,0.633179,0.847467,1,1,0,0
3,1,27.328405,15.621389,1,1,0,0
4,1,6.341018,11.344409,1,1,0,0
5,1,6.108697,4.217853,1,1,0,0
6,1,8.055891,7.439183,1,1,0,0
7,1,0.075599,0.433511,1,1,0,0
8,1,2.829454,4.098254,1,1,0,0
9,1,21.808637,12.815463,1,1,0,0
10,1,3.711194,6.039324,1,1,0,0
11,1,12.033906,16.936597,1,1,0,0
12,0,30.010261,nan,1,0,0,1
13,1,9.423052,4.141422,1,1,0,0
14,1,11.919766,4.603083,1,1,0,0
15,1,19.275089,11.455329,1,1,0,0
16,1,25.572104,11.570928,1,1,0,0
17,0,30.425162,nan,1,0,0,1
18,1,16.216207,8.086304,1,1,0,0
19,0,30.152721,nan,1,0,0,1
20,0,30.315871,nan,1,0,0,1
21,1,2.403899,2.828752,1,1,0,0
22,1,24.057791,9.354975,1,1,0,0
23,1,4.312254,2.577788,1,1,0,0
24,1,26.621324,11.427121,1,1,0,0
25,1,18.248846,8.948969,1,1,0,0
26,1,24.724410,10.660146,1,1,0,0
27,1,10.626002,9.501039,1,1,0,0
28,1,18.222878,10.520682,1,1,0,0
29,1,16.350324,10.859983,1,1,0,0
30,1,2.126642,2.829007,1,1,0,0
31,1,16.691446,9.853328,1,1,0,0
32,1,2.350360,4.077087,1,1,0,0
33,1,1.807150,4.317335,1,1,0,0
34,1,11.868342,4.111311,1,1,0,0
35,1,19.525958,6.728221,1,1,0,0
36,1,18.507828,11.005767,1,1,0,0
37,1,13.212717,4.379800,1,1,0,0
38,0,31.085377,nan,1,0,0,1
39,1,11.138918,2.192267,1,1,0,0
40,1,25.089113,15.947420,1,1,0,0
41,0,30.418497,nan,1,0,0,1
42,1,28.697711,6.065030,1,1,0,0
43,1,29.656360,6.761380,1,1,0,0
44,0,30.120927,nan,1,0,0,1
45,1,10.906079,1.527428,1,1,0,0
46,1,9.133324,6.972251,1,1,0,0
47,0,30.065837,nan,1,0,0,1
48,1,29.554803,3.522707,1,1,0,0
49,1,11.963208,13.802104,1,1,0,0
50,0,31.537542,nan,1,0,0,1
51,1,1.902659,3.831185,1,1,0,0
52,1,2.364887,3.507423,1,1,0,0
53,1,19.578181,11.580724,1,1,0,0
54,1,17.028722,11.526535,1,1,0,0
55,0,30.445163,nan,1,0,0,1
56,1,1.673883,2.011387,1,1,0,0
57,1,9.794300,7.923221,1,1,0,0
58,0,30.230030,nan,1,0,0,1
59,0,31.081702,nan,1,0,0,1
60,1,12.661721,8.058484,1,1,0,0
61,0,30.153488,nan,1,0,0,1
62,1,12.084008,4.378735,1,1,0,0
63,1,14.745174,10.929696,1,1,0,0
64,0,30.138382,nan,1,0,0,1
65,1,15.914724,10.879182,1,1,0,0
66,1,23.022468,7.230819,1,1,0,0
67,0,30.148556,nan,1,0,0,1
68,0,30.295734,nan,1,0,0,1
69,1,20.248362,4.478866,1,1,0,0
70,1,28.315528,3.122282,1,1,0,0
71,0,32.006625,nan,1,0,0,1
72,0,30.876641,nan,1,0,0,1
73,0,31.119684,nan,1,0,0,1
74,1,18.835653,11.207650,1,1,0,0
75,1,22.023084,5.845067,1,1,0,0
76,1,26.220209,10.625399,1,1,0,0
77,0,30.178887,nan,1,0,0,1
78,0,30.205976,nan,1,0,0,1
79,1,19.275387,13.080440,1,1,0,0
80,1,10.224655,3.647195,1,1,0,0
81,1,29.812660,17.894347,1,1,0,0
82,0,30.261876,nan,1,0,0,1
83,1,1.902811,1.912474,1,1,0,0
84,1,20.465478,12.655478,1,1,0,0
85,1,12.968999,5.001467,1,1,0,0
86,0,30.056619,nan,1,0,0,1
87,1,17.357353,8.769501,1,1,0,0
88,1,14.199054,8.485559,1,1,0,0
89,0,30.085732,nan,1,0,0,1
90,1,10.190789,1.795076,1,1,0,0
91,1,22.568502,9.864495,1,1,0,0
92,1,27.143822,8.026875,1,1,0,0
93,1,22.550870,13.599216,1,1,0,0
94,0,30.061280,nan,1,0,0,1
95,1,3.565523,2.290696,1,1,0,0
96,1,1.690173,3.536298,1,1,0,0
97,0,30.094088,nan,1,0,0,1
98,0,30.303271,nan,1,0,0,1
99,1,23.852507,8.680092,1,1,0,0
100,0,30.093231,nan,1,0,0,1
101,1,18.731282,6.038507,1,1,0,0
102,1,2.135821,1.776750,1,1,0,0
103,1,13.197209,8.074234,1,1,0,0
104,0,30.096974,nan,1,0,0,1
105,0,30.889252,nan,1,0,0,1
106,1,19.576801,7.045991,1,1,0,0
107,0,30.163197,nan,1,0,0,1
108,0,30.254663,nan,1,0,0,1
109,1,0.344930,0.855683,1,1,0,0
110,0,30.299075,nan,1,0,0,1
111,1,25.475882,6.186576,1,1,0,0
112,0,30.927585,nan,1,0,0,1
113,0,30.984450,nan,1,0,0,1
114,0,30.760777,10.817849,1,1,0,1
115,0,30.041820,nan,1,0,0,1
116,0,30.381973,nan,1,0,0,1
117,0,32.252379,nan,1,0,0,1
118,1,8.344891,4.321935,1,1,0,0
119,1,19.590320,8.768574,1,1,0,0
120,0,30.400728,15.095401,1,1,0,1
121,0,30.030488,nan,1,0,0,1
122,0,30.206355,nan,1,0,0,1
123,0,30.168774,nan,1,0,0,1
124,1,17.862608,10.671842,1,1,0,0
125,1,9.877948,8.333147,1,1,0,0
126,0,30.283792,nan,1,0,0,1
127,1,19.237256,4.338736,1,1,0,0
128,1,1.385560,0.717836,1,1,0,0
129,0,31.017837,nan,1,0,0,1
130,1,5.657734,5.067086,1,1,0,0
131,1,2.965004,2.547894,1,1,0,0
132,0,30.228564,nan,1,0,0,1
133,1,8.593570,4.173887,1,1,0,0
134,1,12.767546,5.415214,1,1,0,0
135,0,30.173569,nan,1,0,0,1
136,1,19.852268,9.108186,1,1,0,0
137,1,20.676576,14.197479,1,1,0,0
