idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,18.329770,6.732823,1,1,0,0
1,1,12.750449,10.873845,1,1,0,0
2,1,6.673328,1.808208,1,1,0,0
3,1,9.995978,4.674574,1,1,0,0
4,1,24.598222,4.111018,1,1,0,0
5,1,5.236733,7.390369,1,1,0,0
6,1,17.295300,10.817122,1,1,0,0
7,1,2.847957,5.237159,1,1,0,0
8,1,26.559953,5.038859,1,1,0,0
9,1,6.857980,8.443136,1,1,0,0
10,1,6.027714,2.758702,1,1,0,0
11,1,11.920519,4.707223,1,1,0,0
12,1,18.164751,9.190737,1,1,0,0
13,1,19.417851,10.212625,1,1,0,0
14,1,5.160862,5.667106,1,1,0,0
15,1,19.226508,4.767109,1,1,0,0
16,1,3.519427,9.117420,1,1,0,0
17,1,24.679143,2.274703,1,1,0,0
18,1,19.703552,11.883406,1,1,0,0
19,1,5.501175,7.029596,1,1,0,0
20,1,11.245893,6.570138,1,1,0,0
21,1,21.482676,3.448101,1,1,0,0
22,1,0.853337,1.576578,1,1,0,0
23,1,6.749597,5.158827,1,1,0,0
24,1,0.029867,0.464076,1,1,0,0
25,1,27.668534,11.702309,1,1,0,0
26,1,13.220309,7.151346,1,1,0,0
27,1,4.799312,5.170123,1,1,0,0
28,1,10.416179,6.377099,1,1,0,0
29,1,0.383172,0.448062,1,1,0,0
30,0,30.168498,nan,1,0,0,1
31,1,2.428463,5.123665,1,1,0,0
32,1,11.717923,8.883994,1,1,0,0
33,0,30.261451,nan,1,0,0,1
34,1,15.165060,8.140935,1,1,0,0
35,1,17.351060,5.662048,1,1,0,0
36,0,30.184426,nan,1,0,0,1
37,1,4.801073,3.986956,1,1,0,0
38,1,24.310512,10.792723,1,1,0,0
39,1,4.721009,4.397166,1,1,0,0
40,1,27.989434,5.561307,1,1,0,0
41,1,14.397138,8.412908,1,1,0,0
42,1,12.881472,5.400651,1,1,0,0
43,1,2.184470,3.783004,1,1,0,0
44,1,6.460909,3.681429,1,1,0,0
45,1,22.478402,7.720840,1,1,0,0
46,1,16.920310,7.088202,1,1,0,0
47,1,28.492061,2.965194,1,1,0,0
48,1,8.696710,6.151736,1,1,0,0
49,0,30.844498,nan,1,0,0,1
50,1,19.313574,7.148153,1,1,0,0
51,0,30.081489,nan,1,0,0,1
52,0,30.058541,nan,1,0,0,1
53,1,10.171232,4.216149,1,1,0,0
54,0,30.078205,nan,1,0,0,1
55,1,0.329657,0.536801,1,1,0,0
56,0,31.159104,nan,1,0,0,1
57,1,0.777284,1.756988,1,1,0,0
58,1,24.046339,7.064575,1,1,0,0
59,0,30.048608,nan,1,0,0,1
60,1,8.726081,4.202391,1,1,0,0
61,0,30.332894,nan,1,0,0,1
62,1,13.539235,4.035273,1,1,0,0
63,1,4.811054,6.012695,1,1,0,0
64,1,15.614133,7.220685,1,1,0,0
65,1,8.333968,5.968204,1,1,0,0
66,1,20.361747,3.448029,1,1,0,0
67,0,30.490950,nan,1,0,0,1
68,1,15.192097,5.803536,1,1,0,0
69,1,0.036458,0.574677,1,1,0,0
70,0,30.033414,nan,1,0,0,1
71,1,18.397795,6.401242,1,1,0,0
72,1,10.599652,5.559841,1,1,0,0
73,1,2.986813,3.313121,1,1,0,0
74,1,20.685585,4.262938,1,1,0,0
75,1,11.502811,5.553817,1,1,0,0
76,1,7.331964,3.787850,1,1,0,0
77,1,2.331552,1.056674,1,1,0,0
78,1,11.493547,8.056441,1,1,0,0
79,1,23.990854,7.954072,1,1,0,0
80,0,30.327151,nan,1,0,0,1
81,0,30.236673,nan,1,0,0,1
82,1,5.153708,2.220758,1,1,0,0
83,1,11.836854,7.086090,1,1,0,0
84,1,2.096679,0.948136,1,1,0,0
85,0,31.158024,nan,1,0,0,1
86,1,1.439583,1.711127,1,1,0,0
87,1,7.395453,0.858834,1,1,0,0
88,0,30.102393,nan,1,0,0,1
89,1,14.627120,7.332772,1,1,0,0
90,1,21.169838,3.232105,1,1,0,0
91,1,28.571047,9.778037,1,1,0,0
92,1,0.231529,0.575785,1,1,0,0
93,1,0.913506,0.405131,1,1,0,0
94,1,27.422844,4.029949,1,1,0,0
95,0,30.443029,nan,1,0,0,1
96,1,3.473175,2.691371,1,1,0,0
97,1,24.950549,9.732069,1,1,0,0
98,1,12.908492,7.864311,1,1,0,0
99,0,30.087919,nan,1,0,0,1
100,1,0.498617,0.466071,1,1,0,0
101,1,18.983271,9.074872,1,1,0,0
102,1,5.676843,4.111081,1,1,0,0
103,0,31.388772,6.413009,1,1,0,1
104,1,24.570169,4.927916,1,1,0,0
105,0,30.120700,nan,1,0,0,1
106,1,0.354778,0.526662,1,1,0,0
107,1,13.260709,2.950940,1,1,0,0
108,1,10.774009,6.148298,1,1,0,0
109,1,11.587989,5.900745,1,1,0,0
110,1,11.629361,4.986499,1,1,0,0
111,1,8.299441,2.463454,1,1,0,0
112,1,13.387820,4.606627,1,1,0,0
113,1,13.392458,5.506200,1,1,0,0
114,1,21.664354,5.918615,1,1,0,0
115,1,25.352537,3.018560,1,1,0,0
116,1,17.723931,6.545050,1,1,0,0
117,1,29.854033,1.734337,1,1,0,0
118,0,31.747462,6.478190,1,1,0,1
119,1,22.649820,1.654928,1,1,0,0
120,1,0.340116,0.554953,1,1,0,0
121,0,30.239153,nan,1,0,0,1
122,1,6.143273,3.054606,1,1,0,0
123,1,19.643211,7.918810,1,1,0,0
124,0,30.168437,nan,1,0,0,1
125,1,29.492980,5.088688,1,1,0,0
126,1,26.038639,7.102473,1,1,0,0
127,1,22.703460,8.093962,1,1,0,0
128,1,22.393119,8.933531,1,1,0,0
129,1,4.862955,4.171965,1,1,0,0
130,1,7.843352,6.544092,1,1,0,0
131,1,13.546419,3.344209,1,1,0,0
132,1,4.227990,2.952512,1,1,0,0
133,0,35.032127,nan,1,0,0,1
134,1,4.213792,3.586586,1,1,0,0
135,1,7.098065,4.348221,1,1,0,0
136,1,22.113290,5.998626,1,1,0,0
137,1,21.684054,2.737339,1,1,0,0
138,0,30.246125,nan,1,0,0,1
139,1,16.726353,3.900493,1,1,0,0
140,1,24.806836,7.867848,1,1,0,0
141,0,30.092925,nan,1,0,0,1
142,1,5.111103,4.437194,1,1,0,0
