idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,24.642938,9.677217,1,1,0,0
1,1,17.255328,6.879645,1,1,0,0
2,1,12.674615,6.582549,1,1,0,0
3,1,22.487247,5.014687,1,1,0,0
4,0,30.062176,nan,1,0,0,1
5,1,8.826585,5.267529,1,1,0,0
6,1,10.714912,7.822189,1,1,0,0
7,1,0.442134,1.341421,1,1,0,0
8,1,17.272334,8.465514,1,1,0,0
9,1,21.941103,8.105188,1,1,0,0
10,1,24.373457,9.941403,1,1,0,0
11,1,6.042364,7.400786,1,1,0,0
12,1,24.608485,10.975008,1,1,0,0
13,1,27.526711,15.279005,1,1,0,0
14,1,6.829310,1.998293,1,1,0,0
15,1,9.170572,10.020720,1,1,0,0
16,1,23.544248,11.131938,1,1,0,0
17,1,23.827292,12.065833,1,1,0,0
18,1,12.674767,10.369879,1,1,0,0
19,1,25.699389,16.429164,1,1,0,0
20,1,12.774426,1.000749,1,1,0,0
21,0,30.663497,nan,1,0,0,1
22,0,30.252859,nan,1,0,0,1
23,1,9.427642,2.549841,1,1,0,0
24,1,4.134440,1.347270,1,1,0,0
25,1,14.074090,8.749317,1,1,0,0
26,1,26.287525,9.474032,1,1,0,0
27,1,13.108584,9.026175,1,1,0,0
28,1,24.239411,6.541102,1,1,0,0
29,1,0.183261,0.506027,1,1,0,0
30,1,6.118088,1.830680,1,1,0,0
31,1,8.968234,5.441730,1,1,0,0
32,0,30.746545,nan,1,0,0,1
33,1,8.360491,5.615179,1,1,0,0
34,0,30.754100,nan,1,0,0,1
35,1,29.710969,1.982524,1,1,0,0
36,1,7.035905,8.574326,1,1,0,0
37,1,23.840459,11.368537,1,1,0,0
38,1,7.836849,3.262477,1,1,0,0
39,0,30.457152,5.741646,1,1,0,1
40,1,6.270594,2.536038,1,1,0,0
41,1,28.700494,4.061368,1,1,0,0
42,0,30.095592,nan,1,0,0,1
43,1,19.589226,9.089445,1,1,0,0
44,1,29.601485,3.091389,1,1,0,0
45,1,19.938437,14.884745,1,1,0,0
46,1,21.140554,9.487211,1,1,0,0
47,1,6.656812,5.661611,1,1,0,0
48,1,9.316130,5.188774,1,1,0,0
49,1,9.425270,7.911085,1,1,0,0
50,1,9.652070,3.222431,1,1,0,0
51,0,32.325320,10.505204,1,1,0,1
52,1,29.889518,17.945515,1,1,0,0
53,1,19.472997,7.353579,1,1,0,0
54,0,30.529698,nan,1,0,0,1
55,1,0.821586,1.668209,1,1,0,0
56,0,30.047173,nan,1,0,0,1
57,1,7.859341,7.194275,1,1,0,0
58,1,28.426316,10.688205,1,1,0,0
59,0,30.317561,nan,1,0,0,1
60,1,22.609387,7.886263,1,1,0,0
61,1,23.166479,10.467255,1,1,0,0
62,0,30.270406,nan,1,0,0,1
63,1,1.496841,1.058241,1,1,0,0
64,1,17.291926,3.533993,1,1,0,0
65,1,9.510932,7.280433,1,1,0,0
66,1,12.981959,12.510592,1,1,0,0
67,0,30.665627,8.372258,1,1,0,1
68,0,30.215927,nan,1,0,0,1
69,0,30.917649,nan,1,0,0,1
70,1,3.402533,1.080368,1,1,0,0
71,1,18.554133,5.227074,1,1,0,0
72,1,9.507492,5.111090,1,1,0,0
73,0,31.051445,nan,1,0,0,1
74,0,30.222849,nan,1,0,0,1
75,1,14.588878,5.043296,1,1,0,0
76,1,0.284665,0.489637,1,1,0,0
77,1,28.578328,12.827802,1,1,0,0
78,0,30.176639,nan,1,0,0,1
79,1,11.060152,6.261056,1,1,0,0
80,0,30.969964,nan,1,0,0,1
81,1,10.982252,5.728492,1,1,0,0
82,1,21.885978,9.836266,1,1,0,0
83,0,30.533593,nan,1,0,0,1
84,0,30.347064,nan,1,0,0,1
85,1,11.266686,6.761648,1,1,0,0
86,1,24.744394,8.715327,1,1,0,0
87,0,30.681379,nan,1,0,0,1
88,1,24.335793,10.297240,1,1,0,0
89,1,8.544303,6.911491,1,1,0,0
90,1,18.807705,5.533774,1,1,0,0
91,1,21.447769,10.076584,1,1,0,0
92,0,30.101508,nan,1,0,0,1
93,1,28.685384,16.120112,1,1,0,0
94,0,30.888499,nan,1,0,0,1
95,1,24.844739,3.371437,1,1,0,0
96,1,25.425124,15.312493,1,1,0,0
97,1,9.062929,4.994912,1,1,0,0
98,1,11.911047,6.430788,1,1,0,0
99,1,14.604392,7.280021,1,1,0,0
100,1,10.361354,3.814891,1,1,0,0
101,0,30.296675,nan,1,0,0,1
102,1,6.867061,6.820252,1,1,0,0
103,1,7.106130,6.013152,1,1,0,0
104,0,30.357320,nan,1,0,0,1
105,1,13.368319,6.261443,1,1,0,0
106,0,30.175369,nan,1,0,0,1
107,0,30.882436,nan,1,0,0,1
108,0,31.183186,nan,1,0,0,1
109,0,30.055464,nan,1,0,0,1
110,0,30.350068,nan,1,0,0,1
111,0,30.552434,nan,1,0,0,1
112,0,30.500492,nan,1,0,0,1
113,0,30.104748,nan,1,0,0,1
114,1,6.597316,2.581886,1,1,0,0
115,0,30.158571,nan,1,0,0,1
116,1,27.032376,0.934290,1,1,0,0
117,1,6.986601,3.511920,1,1,0,0
118,1,21.033362,4.772972,1,1,0,0
119,1,20.708515,8.216930,1,1,0,0
120,0,30.142319,nan,1,0,0,1
121,1,22.226587,9.251366,1,1,0,0
122,1,10.736199,3.816165,1,1,0,0
123,0,30.844466,nan,1,0,0,1
124,1,16.862193,5.191200,1,1,0,0
125,1,26.859327,9.898055,1,1,0,0
126,1,14.252200,6.057326,1,1,0,0
127,1,8.238658,4.645254,1,1,0,0
128,1,6.623236,6.489307,1,1,0,0
129,1,20.290252,5.015903,1,1,0,0
130,1,14.697263,2.977474,1,1,0,0
131,1,9.107649,3.279958,1,1,0,0
132,0,30.256850,nan,1,0,0,1
133,1,27.587860,5.842037,1,1,0,0
134,1,0.148828,0.522465,1,1,0,0
135,0,30.316432,nan,1,0,0,1
136,1,17.143644,5.330562,1,1,0,0
137,1,24.499792,9.238293,1,1,0,0
138,0,31.662534,nan,1,0,0,1
139,1,4.238282,2.370613,1,1,0,0
140,0,30.139340,nan,1,0,0,1
141,0,30.440348,nan,1,0,0,1
142,1,22.939501,9.634441,1,1,0,0
143,0,30.462449,nan,1,0,0,1
144,1,15.047775,6.656872,1,1,0,0
145,0,30.663341,nan,1,0,0,1
146,1,20.003266,5.403226,1,1,0,0
147,1,21.771484,7.269849,1,1,0,0
