idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,7.356611,6.690601,1,1,0,0
1,1,6.640985,2.068732,1,1,0,0
2,1,16.339928,8.647486,1,1,0,0
3,1,3.544325,9.778267,1,1,0,0
4,1,1.313908,4.339390,1,1,0,0
5,1,2.599056,4.380211,1,1,0,0
6,1,9.678469,3.220283,1,1,0,0
7,1,6.923482,13.337067,1,1,0,0
8,1,12.418854,9.172513,1,1,0,0
9,1,6.944724,8.884595,1,1,0,0
10,1,11.801591,16.537773,1,1,0,0
11,1,14.320108,8.131535,1,1,0,0
12,1,6.047432,14.146409,1,1,0,0
13,1,5.814835,12.175941,1,1,0,0
14,1,4.591510,5.500597,1,1,0,0
15,1,0.947775,2.044992,1,1,0,0
16,1,2.936512,8.622564,1,1,0,0
17,1,0.892431,2.162644,1,1,0,0
18,1,12.118446,6.055256,1,1,0,0
19,1,8.572139,8.506146,1,1,0,0
20,1,5.139226,8.681045,1,1,0,0
21,1,0.726520,0.938049,1,1,0,0
22,1,6.119309,7.760527,1,1,0,0
23,1,1.250513,2.401850,1,1,0,0
24,1,0.644088,2.853598,1,1,0,0
25,1,14.042299,11.208078,1,1,0,0
26,1,0.890752,4.587108,1,1,0,0
27,1,5.114824,7.662611,1,1,0,0
28,1,4.256032,4.793045,1,1,0,0
29,1,6.072304,10.266027,1,1,0,0
30,1,0.036671,0.589377,1,1,0,0
31,1,8.369853,10.722702,1,1,0,0
32,1,9.641801,4.846683,1,1,0,0
33,1,3.524184,7.532034,1,1,0,0
34,1,2.726779,5.450970,1,1,0,0
35,1,2.437213,2.717310,1,1,0,0
36,1,0.249096,2.032833,1,1,0,0
37,1,8.792121,7.081332,1,1,0,0
38,1,4.268096,3.846096,1,1,0,0
39,1,5.648076,11.037841,1,1,0,0
40,1,6.115807,12.729398,1,1,0,0
41,1,12.450897,6.718459,1,1,0,0
42,1,7.030620,4.530955,1,1,0,0
43,1,7.069427,6.799217,1,1,0,0
44,1,6.660235,11.393626,1,1,0,0
45,1,7.546934,8.620006,1,1,0,0
46,1,7.162548,4.113385,1,1,0,0
47,1,7.092567,11.172139,1,1,0,0
48,1,3.969617,5.437488,1,1,0,0
49,1,11.294558,13.024077,1,1,0,0
50,1,0.057543,0.550019,1,1,0,0
51,1,22.110712,6.896237,1,1,0,0
52,1,6.187177,5.396985,1,1,0,0
53,1,5.050627,11.523450,1,1,0,0
54,1,27.361621,6.646457,1,1,0,0
55,1,6.357181,2.285362,1,1,0,0
56,1,8.039100,6.690540,1,1,0,0
57,1,2.644945,3.697232,1,1,0,0
58,1,0.016363,0.517447,1,1,0,0
59,1,7.815268,7.133178,1,1,0,0
60,1,13.471117,12.197077,1,1,0,0
61,1,6.802596,7.679086,1,1,0,0
62,1,7.416965,8.831997,1,1,0,0
63,1,13.975268,12.118192,1,1,0,0
64,1,10.049745,9.205026,1,1,0,0
65,1,8.502931,11.868239,1,1,0,0
66,1,17.421753,7.148177,1,1,0,0
67,1,22.116144,8.892179,1,1,0,0
68,1,7.743688,5.309832,1,1,0,0
69,1,2.177628,3.743985,1,1,0,0
70,1,7.886062,11.166861,1,1,0,0
71,1,5.296588,5.369586,1,1,0,0
72,1,1.313482,4.425398,1,1,0,0
73,1,9.136578,3.923881,1,1,0,0
74,1,5.903158,9.671855,1,1,0,0
75,1,12.766114,16.781250,1,1,0,0
76,1,8.588715,3.605825,1,1,0,0
77,1,17.931317,3.237720,1,1,0,0
78,1,14.565865,12.124167,1,1,0,0
79,1,1.985394,5.564520,1,1,0,0
80,1,20.169368,11.377706,1,1,0,0
81,1,4.583843,2.789642,1,1,0,0
82,1,23.108424,7.003928,1,1,0,0
83,1,5.301166,5.518850,1,1,0,0
84,1,12.417733,6.107915,1,1,0,0
85,1,0.048736,0.390443,1,1,0,0
86,1,4.726490,4.707028,1,1,0,0
87,1,5.765110,2.534136,1,1,0,0
88,1,4.201666,4.626744,1,1,0,0
89,1,20.415889,6.840079,1,1,0,0
90,1,8.339343,6.564171,1,1,0,0
91,1,3.218021,7.078701,1,1,0,0
92,1,16.141795,11.382705,1,1,0,0
93,1,12.444670,8.759209,1,1,0,0
94,1,0.002038,0.137744,1,1,0,0
95,1,14.061696,9.609397,1,1,0,0
96,1,7.349225,10.645535,1,1,0,0
97,1,3.633499,3.149629,1,1,0,0
98,1,9.685033,6.514947,1,1,0,0
99,1,8.822209,2.054200,1,1,0,0
100,1,2.254365,9.523561,1,1,0,0
101,1,18.926157,5.659766,1,1,0,0
102,1,3.480075,4.777163,1,1,0,0
103,1,0.096051,0.344654,1,1,0,0
104,1,23.089087,6.345802,1,1,0,0
105,1,11.545807,12.826955,1,1,0,0
106,1,22.179010,14.192698,1,1,0,0
107,1,21.222055,11.242139,1,1,0,0
108,1,17.857210,4.285029,1,1,0,0
109,1,14.771530,3.026560,1,1,0,0
110,1,19.165149,10.318124,1,1,0,0
111,1,15.736493,11.406943,1,1,0,0
112,1,11.833335,4.859465,1,1,0,0
113,1,2.332571,5.900380,1,1,0,0
114,1,13.975626,12.455176,1,1,0,0
115,1,8.120235,12.090999,1,1,0,0
116,1,13.111320,5.981339,1,1,0,0
117,0,30.199871,5.826908,1,1,0,1
118,1,20.493092,13.562431,1,1,0,0
119,1,3.976906,7.858827,1,1,0,0
120,1,18.973582,9.537790,1,1,0,0
121,1,1.576869,6.767311,1,1,0,0
122,0,30.009889,11.913669,1,1,0,1
123,1,18.793617,10.654904,1,1,0,0
124,1,10.949366,12.157793,1,1,0,0
125,1,12.105425,4.506523,1,1,0,0
126,1,17.683260,4.117330,1,1,0,0
127,1,10.154095,8.391452,1,1,0,0
128,1,6.487982,9.001542,1,1,0,0
129,1,7.929315,4.971938,1,1,0,0
130,1,5.099411,7.967950,1,1,0,0
131,1,1.797068,1.815688,1,1,0,0
132,1,5.451806,8.404747,1,1,0,0
133,1,17.003193,10.499592,1,1,0,0
134,1,1.394467,0.906981,1,1,0,0
135,1,0.122429,0.343633,1,1,0,0
136,1,9.313879,10.788874,1,1,0,0
137,1,28.578722,12.056092,1,1,0,0
138,1,0.204659,0.415978,1,1,0,0
139,1,2.849479,7.054474,1,1,0,0
140,1,16.734704,9.959021,1,1,0,0
141,1,15.501013,19.273580,1,1,0,0
142,1,26.407828,8.036511,1,1,0,0
143,1,10.259003,5.611894,1,1,0,0
144,1,11.579097,9.005753,1,1,0,0
145,1,15.698934,11.399141,1,1,0,0
146,0,30.162784,nan,1,0,0,1
147,1,9.960856,10.397534,1,1,0,0
148,1,14.761256,11.388948,1,1,0,0
149,1,3.432334,2.043949,1,1,0,0
150,1,1.509760,5.408946,1,1,0,0
151,1,2.651094,5.609760,1,1,0,0
152,1,15.512297,11.294942,1,1,0,0
153,1,8.708971,12.804238,1,1,0,0
154,1,21.021702,14.573338,1,1,0,0
155,1,7.697550,3.104184,1,1,0,0
156,1,4.106262,4.261781,1,1,0,0
157,1,6.705228,6.161060,1,1,0,0
158,1,4.068270,6.378862,1,1,0,0
159,1,4.554748,4.606822,1,1,0,0
160,1,13.713649,7.359420,1,1,0,0
161,1,0.040324,0.314417,1,1,0,0
162,1,7.521807,6.052858,1,1,0,0
163,1,24.591266,11.281425,1,1,0,0
164,0,30.054723,nan,1,0,0,1
165,1,12.089830,13.914501,1,1,0,0
166,1,20.213151,9.031109,1,1,0,0
167,1,6.423726,6.354047,1,1,0,0
168,1,9.297762,8.318705,1,1,0,0
169,1,9.475404,8.587772,1,1,0,0
170,1,3.311875,5.495691,1,1,0,0
171,0,30.206794,nan,1,0,0,1
172,1,4.030117,5.334759,1,1,0,0
173,1,17.800687,18.435088,1,1,0,0
174,1,29.167872,7.221282,1,1,0,0
175,1,14.234394,5.965947,1,1,0,0
176,1,24.382414,8.156318,1,1,0,0
177,1,3.651420,5.263411,1,1,0,0
178,1,5.718575,6.119361,1,1,0,0
179,0,30.804786,nan,1,0,0,1
180,1,13.500983,4.789959,1,1,0,0
181,1,9.510293,5.883790,1,1,0,0
182,1,0.073571,0.521625,1,1,0,0
183,1,20.548241,8.045120,1,1,0,0
184,1,2.901878,2.198849,1,1,0,0
185,1,14.543678,4.691554,1,1,0,0
186,1,7.285970,9.147203,1,1,0,0
187,1,9.648263,5.642860,1,1,0,0
188,1,9.095752,2.832057,1,1,0,0
189,1,1.975275,1.464609,1,1,0,0
190,1,18.023294,9.402293,1,1,0,0
191,1,23.815391,6.398641,1,1,0,0
192,1,26.464607,8.460222,1,1,0,0
193,1,6.210973,8.825030,1,1,0,0
194,1,8.264552,6.342829,1,1,0,0
195,1,21.757672,9.157441,1,1,0,0
196,0,30.235480,nan,1,0,0,1
197,1,6.121012,5.127607,1,1,0,0
198,1,0.257776,1.489316,1,1,0,0
199,1,16.602359,7.548014,1,1,0,0
200,1,0.476068,1.483885,1,1,0,0
201,1,14.567536,8.448864,1,1,0,0
202,1,3.153894,2.519265,1,1,0,0
203,1,24.363629,14.188072,1,1,0,0
204,1,5.649692,10.094754,1,1,0,0
205,1,18.343070,4.080968,1,1,0,0
206,1,5.886533,2.847289,1,1,0,0
207,1,18.399672,15.668143,1,1,0,0
208,1,22.992392,4.306856,1,1,0,0
209,1,16.541215,18.257134,1,1,0,0
210,1,24.012010,4.029956,1,1,0,0
211,1,12.419926,13.509713,1,1,0,0
212,1,14.339035,8.460217,1,1,0,0
213,1,8.328830,5.576011,1,1,0,0
214,1,6.621456,5.204854,1,1,0,0
215,1,4.247657,6.567285,1,1,0,0
216,1,8.295843,5.070504,1,1,0,0
217,1,4.114631,1.177449,1,1,0,0
218,1,22.292750,6.267632,1,1,0,0
219,1,13.453459,11.325107,1,1,0,0
220,1,20.735252,12.486658,1,1,0,0
221,1,0.113212,1.422873,1,1,0,0
222,1,18.302875,10.067368,1,1,0,0
223,1,12.831143,5.860950,1,1,0,0
224,0,30.224290,nan,1,0,0,1
225,1,9.330439,10.094483,1,1,0,0
226,1,8.409601,9.227283,1,1,0,0
227,1,19.660496,8.514909,1,1,0,0
228,1,18.949629,9.420883,1,1,0,0
229,1,21.017113,2.377172,1,1,0,0
230,1,9.717795,8.100567,1,1,0,0
231,1,25.451798,15.549517,1,1,0,0
232,1,8.718021,11.196719,1,1,0,0
233,1,5.498456,7.054442,1,1,0,0
234,1,20.199357,7.441705,1,1,0,0
235,1,1.961125,3.317385,1,1,0,0
236,1,8.717024,5.426497,1,1,0,0
237,1,1.540262,3.053012,1,1,0,0
238,1,11.344074,6.020211,1,1,0,0
239,1,0.017584,0.402862,1,1,0,0
240,1,0.063555,0.290765,1,1,0,0
241,1,12.443603,9.901198,1,1,0,0
242,1,9.476590,12.332611,1,1,0,0
243,1,22.540474,8.488000,1,1,0,0
244,0,30.122562,nan,1,0,0,1
245,1,15.331991,1.924637,1,1,0,0
246,1,2.768575,1.315669,1,1,0,0
247,1,18.884452,6.292458,1,1,0,0
248,1,1.002731,2.362237,1,1,0,0
249,1,28.179435,6.822383,1,1,0,0
250,1,2.697886,4.752514,1,1,0,0
251,1,9.784360,3.491342,1,1,0,0
252,1,0.379568,2.243459,1,1,0,0
253,1,6.337078,8.370272,1,1,0,0
254,1,5.383187,0.812108,1,1,0,0
255,0,30.026770,nan,1,0,0,1
256,1,3.271813,0.873109,1,1,0,0
257,1,2.783338,8.275555,1,1,0,0
258,1,14.223481,5.017984,1,1,0,0
259,1,13.482482,13.403456,1,1,0,0
260,1,0.016496,0.571264,1,1,0,0
261,1,10.396061,10.627852,1,1,0,0
262,1,8.673517,4.787090,1,1,0,0
263,1,7.708559,4.501986,1,1,0,0
264,1,11.296228,10.437541,1,1,0,0
265,0,30.100917,nan,1,0,0,1
266,1,7.093681,10.328251,1,1,0,0
267,1,10.669763,5.962932,1,1,0,0
268,1,19.274433,4.809775,1,1,0,0
269,1,6.882307,5.457633,1,1,0,0
270,1,8.781705,7.043472,1,1,0,0
271,1,6.605922,6.651250,1,1,0,0
272,1,8.621407,6.644028,1,1,0,0
273,1,0.955369,3.210507,1,1,0,0
274,1,12.373710,6.831312,1,1,0,0
275,1,4.524135,3.494761,1,1,0,0
276,1,9.632093,5.336196,1,1,0,0
277,1,9.082181,8.895761,1,1,0,0
278,0,30.241155,nan,1,0,0,1
279,1,17.338503,2.752583,1,1,0,0
280,1,13.331593,15.005756,1,1,0,0
281,1,12.853086,12.303313,1,1,0,0
282,1,15.700443,14.628618,1,1,0,0
283,1,12.226738,4.697938,1,1,0,0
284,1,21.924676,7.810022,1,1,0,0
285,1,16.867936,4.866703,1,1,0,0
286,1,5.011314,4.748674,1,1,0,0
287,1,21.861629,9.916011,1,1,0,0
288,1,2.633148,4.887121,1,1,0,0
289,1,8.243645,15.433806,1,1,0,0
290,1,8.594505,6.823667,1,1,0,0
291,1,16.638444,11.325651,1,1,0,0
292,1,0.239105,0.456878,1,1,0,0
293,1,13.851584,11.589886,1,1,0,0
294,0,30.280241,nan,1,0,0,1
295,1,19.880925,11.570648,1,1,0,0
296,1,8.254750,7.723888,1,1,0,0
297,1,17.274678,3.702739,1,1,0,0
298,1,6.193341,5.255067,1,1,0,0
299,1,0.070371,0.368941,1,1,0,0
300,1,27.838340,7.199715,1,1,0,0
301,1,0.323815,1.188519,1,1,0,0
302,1,10.472255,5.282334,1,1,0,0
303,0,30.028371,nan,1,0,0,1
304,1,12.485267,7.704829,1,1,0,0
305,1,29.405800,9.035709,1,1,0,0
306,1,11.409397,11.197293,1,1,0,0
307,1,18.082987,15.703401,1,1,0,0
308,1,1.036183,3.661060,1,1,0,0
309,1,7.944437,11.302530,1,1,0,0
310,1,21.045410,9.381731,1,1,0,0
311,0,30.170891,nan,1,0,0,1
312,1,11.052275,5.177827,1,1,0,0
313,1,4.133899,4.933709,1,1,0,0
314,1,2.676201,1.975262,1,1,0,0
315,1,1.192635,1.434555,1,1,0,0
316,1,10.194663,9.344215,1,1,0,0
317,1,15.323756,6.542118,1,1,0,0
318,1,4.235868,4.829035,1,1,0,0
319,1,0.163290,1.161955,1,1,0,0
320,1,7.900656,2.488914,1,1,0,0
321,1,29.680349,3.219319,1,1,0,0
322,1,17.880746,5.971762,1,1,0,0
323,1,19.923595,18.961796,1,1,0,0
324,1,14.319852,12.133492,1,1,0,0
325,1,3.835979,3.143451,1,1,0,0
326,1,7.607182,7.454613,1,1,0,0
327,1,22.338764,10.042443,1,1,0,0
328,1,2.294712,2.252561,1,1,0,0
329,1,7.743712,5.573583,1,1,0,0
330,0,30.091705,nan,1,0,0,1
331,1,13.782746,13.962429,1,1,0,0
332,1,12.841579,9.605924,1,1,0,0
333,1,16.550150,4.748128,1,1,0,0
334,1,27.369933,5.539744,1,1,0,0
335,1,4.384060,5.601544,1,1,0,0
336,1,1.900179,2.665875,1,1,0,0
337,1,2.128916,4.386474,1,1,0,0
338,1,8.886518,13.014650,1,1,0,0
339,1,9.233651,13.857938,1,1,0,0
340,1,13.689810,11.930650,1,1,0,0
341,1,1.513920,2.423505,1,1,0,0
342,1,1.309743,2.806903,1,1,0,0
343,1,10.315875,8.131757,1,1,0,0
344,1,19.705407,4.418073,1,1,0,0
345,1,6.254608,5.003041,1,1,0,0
346,1,18.430914,13.869662,1,1,0,0
347,1,9.757184,3.493006,1,1,0,0
348,1,12.568904,6.166077,1,1,0,0
349,1,10.562982,5.336227,1,1,0,0
350,1,6.945139,5.806249,1,1,0,0
351,1,17.474516,8.352571,1,1,0,0
352,1,9.716525,9.087664,1,1,0,0
353,1,7.078946,5.761943,1,1,0,0
354,1,5.706888,6.673283,1,1,0,0
355,1,14.371706,5.485945,1,1,0,0
356,1,1.063428,4.657736,1,1,0,0
357,1,25.586108,9.515092,1,1,0,0
358,1,15.488606,11.123594,1,1,0,0
359,1,6.576851,4.464418,1,1,0,0
360,1,3.074013,3.870815,1,1,0,0
361,1,7.048114,8.799531,1,1,0,0
362,1,9.685848,7.230786,1,1,0,0
363,1,2.619167,3.158157,1,1,0,0
364,1,10.174275,8.326371,1,1,0,0
365,1,7.314312,6.244566,1,1,0,0
366,1,4.064160,4.625963,1,1,0,0
367,1,24.492096,4.440797,1,1,0,0
368,1,13.641470,15.499190,1,1,0,0
369,1,2.604594,2.370083,1,1,0,0
370,1,16.650903,8.706294,1,1,0,0
371,1,2.898845,1.629165,1,1,0,0
372,1,6.648972,9.344810,1,1,0,0
373,1,6.679602,6.639460,1,1,0,0
374,1,19.802645,10.010622,1,1,0,0
375,1,14.235955,15.965308,1,1,0,0
376,1,3.469217,4.507918,1,1,0,0
377,1,26.675836,15.361576,1,1,0,0
378,1,16.194568,8.541592,1,1,0,0
379,1,6.184089,7.790862,1,1,0,0
380,1,13.040968,17.041893,1,1,0,0
381,1,6.388664,1.839497,1,1,0,0
382,1,12.902606,8.384350,1,1,0,0
383,1,0.896319,1.242860,1,1,0,0
384,1,7.883293,3.173900,1,1,0,0
385,1,16.588771,9.741832,1,1,0,0
386,1,20.339985,6.223283,1,1,0,0
387,1,5.262188,3.024223,1,1,0,0
388,1,7.868488,5.651739,1,1,0,0
389,1,13.553559,1.470245,1,1,0,0
390,1,19.002004,13.619340,1,1,0,0
391,1,6.427674,9.514883,1,1,0,0
392,1,16.700889,15.299875,1,1,0,0
393,1,17.417847,14.992147,1,1,0,0
394,1,22.700996,9.197919,1,1,0,0
395,1,18.227173,8.436526,1,1,0,0
396,1,25.653008,6.444302,1,1,0,0
