idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,16.239431,8.636509,1,1,0,0
1,1,8.037565,6.398792,1,1,0,0
2,1,3.487526,6.202119,1,1,0,0
3,1,10.228510,11.749009,1,1,0,0
4,1,5.932545,7.160883,1,1,0,0
5,1,8.258625,7.287815,1,1,0,0
6,1,11.162745,2.480590,1,1,0,0
7,1,10.150443,10.868170,1,1,0,0
8,1,3.674744,3.561306,1,1,0,0
9,1,13.474686,11.632111,1,1,0,0
10,1,10.655627,4.807355,1,1,0,0
11,1,11.913509,4.274117,1,1,0,0
12,1,6.355995,4.295827,1,1,0,0
13,1,11.602708,3.012128,1,1,0,0
14,1,6.122167,5.642759,1,1,0,0
15,1,28.398401,3.514105,1,1,0,0
16,1,6.902383,6.743076,1,1,0,0
17,1,0.040419,0.465837,1,1,0,0
18,1,6.588215,8.813126,1,1,0,0
19,1,12.668879,11.471572,1,1,0,0
20,1,1.917390,5.376029,1,1,0,0
21,1,2.127877,2.125027,1,1,0,0
22,1,7.147016,2.200062,1,1,0,0
23,1,2.375947,1.383103,1,1,0,0
24,1,7.043242,5.517678,1,1,0,0
25,1,15.390299,8.766874,1,1,0,0
26,1,3.425074,4.722693,1,1,0,0
27,1,9.672881,3.250851,1,1,0,0
28,1,4.435227,6.777381,1,1,0,0
29,1,3.381296,7.704113,1,1,0,0
30,1,16.733067,4.156033,1,1,0,0
31,1,10.477597,12.354777,1,1,0,0
32,1,6.471034,8.586605,1,1,0,0
33,1,4.370446,2.534291,1,1,0,0
34,1,9.560430,8.017834,1,1,0,0
35,1,8.322463,3.550562,1,1,0,0
36,1,1.761731,1.099213,1,1,0,0
37,1,2.052095,1.974657,1,1,0,0
38,1,5.934048,4.052715,1,1,0,0
39,1,0.025697,0.539095,1,1,0,0
40,1,6.590990,5.140632,1,1,0,0
41,1,13.020335,4.769657,1,1,0,0
42,1,4.821227,4.673990,1,1,0,0
43,1,1.634614,3.151962,1,1,0,0
44,1,23.478855,11.676636,1,1,0,0
45,1,12.737439,12.897108,1,1,0,0
46,1,22.431309,6.836912,1,1,0,0
47,1,4.649944,4.644354,1,1,0,0
48,1,5.361228,4.664831,1,1,0,0
49,1,1.658089,3.690783,1,1,0,0
50,1,24.240849,12.986137,1,1,0,0
51,1,25.189194,2.946003,1,1,0,0
52,1,7.003344,3.002030,1,1,0,0
