idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,0.010633,0.849307,1,1,0,0
1,1,2.123519,9.429143,1,1,0,0
2,1,0.598031,3.810127,1,1,0,0
3,1,3.854073,5.876591,1,1,0,0
4,1,3.555344,7.345955,1,1,0,0
5,1,0.554103,5.849117,1,1,0,0
6,1,0.526263,0.887536,1,1,0,0
7,1,1.098874,5.903151,1,1,0,0
8,1,8.803972,5.323496,1,1,0,0
9,1,1.038990,8.526350,1,1,0,0
10,1,1.735536,6.861320,1,1,0,0
11,1,1.337959,6.402388,1,1,0,0
12,1,2.717153,4.422530,1,1,0,0
13,1,0.479015,3.233046,1,1,0,0
14,1,1.633470,7.160205,1,1,0,0
15,1,4.462931,13.183775,1,1,0,0
16,1,2.468091,4.520319,1,1,0,0
17,1,5.954331,2.747247,1,1,0,0
18,1,0.978423,4.470745,1,1,0,0
19,1,1.424880,8.558036,1,1,0,0
20,1,2.296178,7.572621,1,1,0,0
21,1,1.690864,5.095303,1,1,0,0
22,1,0.570486,3.045477,1,1,0,0
23,1,0.520313,1.783566,1,1,0,0
24,1,2.072454,6.160714,1,1,0,0
25,1,0.823377,5.877939,1,1,0,0
26,1,3.741823,13.935893,1,1,0,0
27,1,1.246258,1.982203,1,1,0,0
28,1,2.360959,9.967415,1,1,0,0
29,1,3.541856,7.158129,1,1,0,0
30,1,3.156804,15.715538,1,1,0,0
31,1,1.607950,5.836208,1,1,0,0
32,1,1.801740,13.829367,1,1,0,0
33,1,0.028307,0.532841,1,1,0,0
34,1,0.513640,3.431650,1,1,0,0
35,1,3.724738,11.500694,1,1,0,0
36,1,1.232681,4.768154,1,1,0,0
37,1,4.260709,7.760187,1,1,0,0
38,1,1.363072,7.354074,1,1,0,0
39,1,1.720769,8.729784,1,1,0,0
40,1,1.717131,8.680105,1,1,0,0
41,1,1.960323,9.342220,1,1,0,0
42,1,1.456922,3.734148,1,1,0,0
43,1,3.449476,9.658034,1,1,0,0
44,1,0.372677,3.639469,1,1,0,0
45,1,2.715850,6.111483,1,1,0,0
46,1,2.059246,8.967087,1,1,0,0
47,1,2.725903,8.180321,1,1,0,0
48,1,1.364120,2.684343,1,1,0,0
49,1,2.097326,3.111899,1,1,0,0
50,1,1.620210,6.733808,1,1,0,0
51,1,2.121506,4.634836,1,1,0,0
52,1,4.089911,10.299008,1,1,0,0
53,1,1.133056,6.148499,1,1,0,0
54,1,0.410780,2.595788,1,1,0,0
55,1,3.941187,4.154116,1,1,0,0
56,1,3.446261,6.255844,1,1,0,0
57,1,1.306775,15.179501,1,1,0,0
58,1,1.521089,5.179064,1,1,0,0
59,1,2.993064,11.143968,1,1,0,0
60,1,12.592020,5.591594,1,1,0,0
61,1,0.008672,0.983058,1,1,0,0
62,1,1.214092,4.271924,1,1,0,0
63,1,1.563584,2.100859,1,1,0,0
64,1,0.368240,4.651285,1,1,0,0
65,1,1.420933,3.691762,1,1,0,0
66,1,0.348711,3.844188,1,1,0,0
67,1,2.297396,6.325933,1,1,0,0
68,1,2.267193,4.926548,1,1,0,0
69,1,1.694227,9.687775,1,1,0,0
70,1,0.110827,0.563606,1,1,0,0
71,1,7.418949,3.392431,1,1,0,0
72,1,15.550750,5.971387,1,1,0,0
73,1,1.410578,5.952840,1,1,0,0
74,1,0.361069,3.870461,1,1,0,0
75,1,12.537392,5.089961,1,1,0,0
76,1,0.011873,0.597734,1,1,0,0
77,1,6.663476,6.272757,1,1,0,0
78,1,1.857481,11.534459,1,1,0,0
79,1,0.783030,4.502783,1,1,0,0
80,1,9.929212,4.820357,1,1,0,0
81,1,2.299083,6.020852,1,1,0,0
82,1,1.045525,6.641420,1,1,0,0
83,1,0.103784,0.913783,1,1,0,0
84,1,0.182183,3.555433,1,1,0,0
85,1,1.691055,5.483024,1,1,0,0
86,1,1.223339,5.230401,1,1,0,0
87,1,2.081502,4.469311,1,1,0,0
88,1,0.505110,2.190959,1,1,0,0
89,1,3.957716,11.388837,1,1,0,0
90,1,0.172103,3.126915,1,1,0,0
91,1,2.152670,6.775593,1,1,0,0
92,1,1.312536,9.661195,1,1,0,0
93,1,1.503528,5.929852,1,1,0,0
94,1,2.209161,6.311703,1,1,0,0
95,1,1.798820,9.465342,1,1,0,0
96,1,0.943778,10.171831,1,1,0,0
97,1,1.125449,5.991193,1,1,0,0
98,1,1.047039,5.897536,1,1,0,0
99,1,0.340622,3.654832,1,1,0,0
100,1,1.709760,8.091831,1,1,0,0
101,1,1.078281,5.483921,1,1,0,0
102,1,0.005204,0.556140,1,1,0,0
103,1,0.264760,2.324759,1,1,0,0
104,1,6.781985,6.145375,1,1,0,0
105,1,0.375982,5.648717,1,1,0,0
