idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,2.881271,5.718818,1,1,0,0
1,0,30.042175,nan,1,0,0,1
2,1,3.456718,9.447215,1,1,0,0
3,1,8.883969,7.168834,1,1,0,0
4,1,11.331621,13.959798,1,1,0,0
5,1,17.768387,13.857522,1,1,0,0
6,1,17.744153,6.382865,1,1,0,0
7,1,25.604717,8.879091,1,1,0,0
8,1,6.242178,5.239254,1,1,0,0
9,1,5.904580,4.645974,1,1,0,0
10,1,22.940713,15.517392,1,1,0,0
11,1,2.017241,2.738602,1,1,0,0
12,1,12.257367,10.217849,1,1,0,0
13,1,1.732831,2.003414,1,1,0,0
14,1,3.873625,8.087631,1,1,0,0
15,1,11.357092,8.527630,1,1,0,0
16,1,10.914729,3.094086,1,1,0,0
17,1,7.450766,7.137445,1,1,0,0
18,1,10.996609,9.977985,1,1,0,0
19,1,7.365044,8.767696,1,1,0,0
20,1,21.804061,7.823034,1,1,0,0
21,1,21.134578,5.675420,1,1,0,0
22,1,20.030370,9.321381,1,1,0,0
23,1,7.918714,8.049778,1,1,0,0
24,1,0.744340,1.720315,1,1,0,0
25,1,3.457966,3.088664,1,1,0,0
26,1,20.198500,21.930285,1,1,0,0
27,1,2.401695,2.195269,1,1,0,0
28,1,9.879698,7.913446,1,1,0,0
29,1,4.987023,8.883924,1,1,0,0
30,1,5.426078,8.955324,1,1,0,0
31,1,10.622514,8.029227,1,1,0,0
32,1,18.032451,11.713082,1,1,0,0
33,1,2.506208,4.080388,1,1,0,0
34,1,3.158788,6.191257,1,1,0,0
35,1,2.747794,4.428021,1,1,0,0
36,1,8.852647,12.260897,1,1,0,0
37,1,12.140419,9.387235,1,1,0,0
38,1,0.082970,0.496787,1,1,0,0
39,1,7.008102,6.214096,1,1,0,0
40,1,16.135217,8.666057,1,1,0,0
41,1,16.302810,24.658769,1,1,0,0
42,1,10.290943,8.464933,1,1,0,0
43,1,6.499447,6.819142,1,1,0,0
44,1,15.385237,6.431462,1,1,0,0
45,1,17.921292,15.886061,1,1,0,0
46,1,4.810952,4.614559,1,1,0,0
47,1,15.106110,7.532055,1,1,0,0
48,1,2.253819,4.001348,1,1,0,0
49,1,7.607167,7.751471,1,1,0,0
50,1,0.126612,0.547545,1,1,0,0
51,1,1.050417,2.787601,1,1,0,0
52,1,4.668486,8.870027,1,1,0,0
53,1,28.882805,10.999633,1,1,0,0
54,1,8.548730,8.358410,1,1,0,0
55,1,5.704303,2.444695,1,1,0,0
56,1,2.556137,3.442446,1,1,0,0
57,1,3.896427,9.335630,1,1,0,0
58,1,10.734465,8.916920,1,1,0,0
59,1,1.962363,4.259530,1,1,0,0
60,1,4.692451,5.418606,1,1,0,0
61,1,11.119334,10.916670,1,1,0,0
62,1,7.798661,10.968516,1,1,0,0
63,1,9.233659,7.307073,1,1,0,0
64,1,15.170819,12.841050,1,1,0,0
65,1,6.751021,4.403304,1,1,0,0
66,1,8.021708,12.801455,1,1,0,0
67,1,0.789135,1.594176,1,1,0,0
68,1,1.061592,3.748212,1,1,0,0
69,1,14.384546,8.608707,1,1,0,0
70,1,11.462411,8.237051,1,1,0,0
71,1,4.126346,3.554598,1,1,0,0
72,1,8.038062,10.412509,1,1,0,0
73,1,3.713156,9.423022,1,1,0,0
74,1,9.844130,9.591477,1,1,0,0
75,1,8.680748,11.502075,1,1,0,0
76,1,26.287384,20.697649,1,1,0,0
77,1,5.151555,9.712781,1,1,0,0
78,1,23.260779,6.390962,1,1,0,0
79,1,4.594684,1.985956,1,1,0,0
80,1,19.762536,7.020999,1,1,0,0
81,1,22.557255,9.723570,1,1,0,0
82,0,30.128623,nan,1,0,0,1
83,1,7.890564,6.221802,1,1,0,0
84,1,11.715753,7.407997,1,1,0,0
85,1,7.782136,5.622849,1,1,0,0
86,1,0.062088,0.355879,1,1,0,0
87,1,12.563785,13.332751,1,1,0,0
88,1,11.194650,11.918347,1,1,0,0
89,1,10.224713,6.158329,1,1,0,0
90,1,12.368576,5.225787,1,1,0,0
91,1,24.677127,6.598280,1,1,0,0
92,1,4.155753,6.978649,1,1,0,0
93,1,10.929179,10.250639,1,1,0,0
94,1,4.216479,5.670344,1,1,0,0
95,1,16.497451,10.011407,1,1,0,0
96,1,8.603562,10.641088,1,1,0,0
97,1,0.541569,2.188193,1,1,0,0
98,1,10.002563,5.534232,1,1,0,0
99,1,7.486608,5.076228,1,1,0,0
100,1,10.776172,7.144747,1,1,0,0
101,1,4.052785,2.247068,1,1,0,0
102,1,0.849925,3.115647,1,1,0,0
103,1,12.238671,7.076712,1,1,0,0
104,1,21.127773,3.824628,1,1,0,0
105,1,2.087156,3.200938,1,1,0,0
106,1,15.197595,7.539795,1,1,0,0
107,1,11.377724,8.560375,1,1,0,0
108,1,18.188615,11.319700,1,1,0,0
109,1,25.246212,18.373700,1,1,0,0
110,1,10.361493,11.012818,1,1,0,0
