idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,11.862813,7.045338,1,1,0,0
1,1,16.736074,8.156424,1,1,0,0
2,0,30.325243,nan,1,0,0,1
3,1,11.108497,7.210892,1,1,0,0
4,1,0.250025,0.620350,1,1,0,0
5,1,0.130342,0.286512,1,1,0,0
6,1,19.523969,7.015793,1,1,0,0
7,1,16.572918,14.342094,1,1,0,0
8,0,30.047147,nan,1,0,0,1
9,0,30.236479,nan,1,0,0,1
10,1,16.355858,3.613585,1,1,0,0
11,1,24.491032,5.105140,1,1,0,0
12,1,4.739923,3.168281,1,1,0,0
13,0,30.063070,nan,1,0,0,1
14,1,11.037784,8.352282,1,1,0,0
15,1,13.376695,10.061234,1,1,0,0
16,1,7.124694,5.224475,1,1,0,0
17,0,30.970882,nan,1,0,0,1
18,0,31.087111,6.946735,1,1,0,1
19,1,12.602324,6.627724,1,1,0,0
20,1,8.845640,8.058629,1,1,0,0
21,1,3.030196,5.423440,1,1,0,0
22,1,8.454775,4.202490,1,1,0,0
23,1,1.103117,1.538196,1,1,0,0
24,0,30.065456,nan,1,0,0,1
25,1,28.517275,16.800971,1,1,0,0
26,1,26.640341,9.088864,1,1,0,0
27,1,19.632695,13.757521,1,1,0,0
28,1,6.453023,5.938886,1,1,0,0
29,1,20.421059,12.154433,1,1,0,0
30,1,0.847648,1.112467,1,1,0,0
31,1,0.197632,0.408864,1,1,0,0
32,1,2.093914,1.049657,1,1,0,0
33,1,12.672716,6.472450,1,1,0,0
34,1,17.298647,7.807748,1,1,0,0
35,1,9.678113,2.019735,1,1,0,0
36,0,30.234304,nan,1,0,0,1
37,1,8.799692,7.136722,1,1,0,0
38,1,11.106395,1.560152,1,1,0,0
39,0,30.364031,nan,1,0,0,1
40,0,30.308213,nan,1,0,0,1
41,1,2.120886,4.486284,1,1,0,0
42,1,14.160671,9.501655,1,1,0,0
43,0,30.115634,nan,1,0,0,1
44,0,30.385549,15.760455,1,1,0,1
45,1,3.382277,2.928804,1,1,0,0
46,0,30.383140,nan,1,0,0,1
47,1,27.056276,14.197972,1,1,0,0
48,1,0.073442,0.516023,1,1,0,0
49,0,30.084025,nan,1,0,0,1
50,1,16.622501,3.984003,1,1,0,0
51,1,6.063682,5.852465,1,1,0,0
52,1,21.707396,4.810849,1,1,0,0
53,0,30.191431,nan,1,0,0,1
54,1,8.082517,8.482144,1,1,0,0
55,0,30.428695,nan,1,0,0,1
56,0,30.120967,nan,1,0,0,1
57,1,12.942089,4.896334,1,1,0,0
58,1,13.936290,11.985091,1,1,0,0
59,1,28.368980,14.140278,1,1,0,0
60,0,31.108150,nan,1,0,0,1
61,1,21.628409,6.634340,1,1,0,0
62,0,30.284076,nan,1,0,0,1
63,0,30.725779,nan,1,0,0,1
64,1,6.545556,3.774946,1,1,0,0
65,1,11.960872,8.674044,1,1,0,0
66,0,30.579732,nan,1,0,0,1
67,0,30.068656,nan,1,0,0,1
68,1,12.501164,8.030807,1,1,0,0
69,0,31.463920,nan,1,0,0,1
70,1,3.069250,4.093107,1,1,0,0
71,1,5.635809,7.624306,1,1,0,0
72,1,0.140501,0.301555,1,1,0,0
73,0,30.509198,nan,1,0,0,1
74,0,30.119922,nan,1,0,0,1
75,1,8.001509,3.119340,1,1,0,0
76,1,4.928437,5.158672,1,1,0,0
77,1,27.704466,15.051893,1,1,0,0
78,1,20.424660,11.698295,1,1,0,0
79,0,30.042961,nan,1,0,0,1
80,1,0.071148,0.311177,1,1,0,0
81,0,30.110163,nan,1,0,0,1
82,1,18.769837,9.656576,1,1,0,0
83,1,9.246865,6.332539,1,1,0,0
84,1,2.847359,3.571022,1,1,0,0
85,1,18.061786,6.990451,1,1,0,0
86,0,30.622815,nan,1,0,0,1
87,1,18.580107,4.052548,1,1,0,0
88,0,30.128553,nan,1,0,0,1
89,1,0.186878,0.396848,1,1,0,0
90,1,3.620228,3.896795,1,1,0,0
91,1,4.014955,4.759729,1,1,0,0
92,1,16.872844,7.139374,1,1,0,0
93,0,30.087136,nan,1,0,0,1
94,1,12.115232,6.471587,1,1,0,0
95,0,30.430663,nan,1,0,0,1
96,1,12.806198,4.066634,1,1,0,0
97,1,16.283887,11.246520,1,1,0,0
98,1,15.636733,11.065687,1,1,0,0
99,1,27.234349,4.607002,1,1,0,0
100,0,30.085627,nan,1,0,0,1
101,0,30.183230,nan,1,0,0,1
102,0,30.104646,nan,1,0,0,1
103,1,0.644625,0.796188,1,1,0,0
104,0,30.436904,nan,1,0,0,1
105,1,28.205515,9.552473,1,1,0,0
106,0,30.665892,nan,1,0,0,1
107,1,18.466781,11.031878,1,1,0,0
108,1,11.027480,7.210267,1,1,0,0
109,1,28.332779,6.790057,1,1,0,0
110,1,16.120120,9.430231,1,1,0,0
111,1,3.008198,6.847592,1,1,0,0
112,0,30.278146,nan,1,0,0,1
113,1,14.988329,1.844429,1,1,0,0
114,1,9.191770,5.775058,1,1,0,0
115,1,0.260624,0.473203,1,1,0,0
116,1,8.278612,6.197870,1,1,0,0
117,0,30.203590,nan,1,0,0,1
118,0,30.075615,nan,1,0,0,1
119,1,11.622178,7.910718,1,1,0,0
120,1,20.910252,13.008770,1,1,0,0
121,0,30.021716,nan,1,0,0,1
122,1,10.391410,4.150471,1,1,0,0
123,1,15.103054,5.933308,1,1,0,0
124,1,15.011463,10.277332,1,1,0,0
125,1,12.136146,4.430348,1,1,0,0
126,1,3.515297,3.915784,1,1,0,0
127,1,5.728586,1.082997,1,1,0,0
128,1,7.901207,5.755091,1,1,0,0
129,1,7.573613,1.931592,1,1,0,0
130,1,19.538253,6.025989,1,1,0,0
131,1,28.926333,19.504372,1,1,0,0
132,1,10.834207,9.334411,1,1,0,0
133,0,30.553772,nan,1,0,0,1
134,1,4.556208,4.146752,1,1,0,0
135,1,8.089936,6.888935,1,1,0,0
136,0,30.068649,nan,1,0,0,1
137,1,8.825229,3.974951,1,1,0,0
138,0,30.113816,nan,1,0,0,1
139,0,30.085724,nan,1,0,0,1
140,1,0.383063,1.058453,1,1,0,0
141,1,11.757928,2.963265,1,1,0,0
142,1,14.885616,10.626492,1,1,0,0
143,1,4.755842,5.883358,1,1,0,0
144,0,30.353197,nan,1,0,0,1
145,0,30.432796,nan,1,0,0,1
146,0,30.108089,nan,1,0,0,1
147,1,24.018576,10.025080,1,1,0,0
148,1,15.025435,5.805612,1,1,0,0
