idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,14.753008,9.677217,1,1,0,0
1,1,10.971223,6.879645,1,1,0,0
2,1,7.795626,6.582549,1,1,0,0
3,1,13.314308,5.014687,1,1,0,0
4,1,24.675621,11.016010,1,1,0,0
5,1,7.613658,12.105794,1,1,0,0
6,1,8.119220,7.988143,1,1,0,0
7,1,0.593379,1.915323,1,1,0,0
8,1,6.373273,6.850754,1,1,0,0
9,1,4.164228,3.667315,1,1,0,0
10,1,10.436295,8.571762,1,1,0,0
11,1,5.775873,5.477895,1,1,0,0
12,1,11.838231,13.939747,1,1,0,0
13,1,1.785285,5.030879,1,1,0,0
14,1,5.735698,8.608260,1,1,0,0
15,1,4.405900,7.312442,1,1,0,0
16,1,5.719363,11.943843,1,1,0,0
17,1,3.147171,3.058544,1,1,0,0
18,0,30.058043,nan,1,0,0,1
19,1,13.636069,14.967237,1,1,0,0
20,1,0.258722,1.112169,1,1,0,0
21,1,24.958397,6.953377,1,1,0,0
22,1,9.762585,5.139010,1,1,0,0
23,1,1.763383,3.265577,1,1,0,0
24,1,14.908957,14.964573,1,1,0,0
25,1,5.140506,3.591752,1,1,0,0
26,1,20.851381,10.365153,1,1,0,0
27,1,6.079014,5.357861,1,1,0,0
28,1,7.965032,11.811391,1,1,0,0
29,1,0.113677,0.506027,1,1,0,0
30,1,18.817956,8.564669,1,1,0,0
31,1,5.188574,3.909842,1,1,0,0
32,1,9.079930,11.479429,1,1,0,0
33,1,2.017875,4.702225,1,1,0,0
34,1,0.186373,0.985264,1,1,0,0
35,1,9.706682,9.018055,1,1,0,0
36,1,6.832558,8.296847,1,1,0,0
37,1,11.262431,5.824724,1,1,0,0
38,1,8.929567,5.361826,1,1,0,0
39,1,2.779076,8.532548,1,1,0,0
40,1,2.750022,1.526170,1,1,0,0
41,1,4.172227,4.851786,1,1,0,0
42,1,23.978062,5.737589,1,1,0,0
43,1,5.610298,8.549236,1,1,0,0
44,1,5.965884,10.171287,1,1,0,0
45,1,4.191039,6.495962,1,1,0,0
46,1,9.094733,5.532632,1,1,0,0
47,1,17.264184,14.786951,1,1,0,0
48,1,5.801894,6.944381,1,1,0,0
49,1,6.311708,13.642849,1,1,0,0
50,1,12.857181,14.331592,1,1,0,0
51,1,7.847713,11.580993,1,1,0,0
52,1,6.170710,9.616157,1,1,0,0
53,1,5.769457,7.610028,1,1,0,0
54,1,26.093971,8.753672,1,1,0,0
55,1,12.711887,8.894642,1,1,0,0
56,1,12.408846,10.024899,1,1,0,0
57,1,7.938319,13.199472,1,1,0,0
58,1,6.405801,10.005656,1,1,0,0
59,1,1.315953,1.026066,1,1,0,0
60,1,7.588802,8.139005,1,1,0,0
61,1,7.255029,6.019245,1,1,0,0
62,1,5.558967,4.371075,1,1,0,0
63,1,5.285386,6.016756,1,1,0,0
64,1,20.204112,4.231137,1,1,0,0
65,1,2.175419,2.036009,1,1,0,0
66,1,8.332089,11.756541,1,1,0,0
67,1,3.369842,7.543323,1,1,0,0
68,1,4.667712,5.780242,1,1,0,0
69,1,21.719809,8.245297,1,1,0,0
70,1,0.585995,1.054278,1,1,0,0
71,1,16.376869,17.724720,1,1,0,0
72,1,20.573300,8.755433,1,1,0,0
73,1,5.562366,10.423626,1,1,0,0
74,1,18.545601,2.483610,1,1,0,0
75,1,10.269719,11.976740,1,1,0,0
76,1,0.159536,0.489637,1,1,0,0
77,1,4.230784,2.718704,1,1,0,0
78,1,5.077807,6.568558,1,1,0,0
79,1,4.589923,5.889728,1,1,0,0
80,1,1.766037,5.014326,1,1,0,0
81,1,6.790265,3.619512,1,1,0,0
82,1,6.407085,9.923577,1,1,0,0
83,1,20.767170,10.500302,1,1,0,0
84,1,1.664482,2.776132,1,1,0,0
85,1,0.994756,3.159396,1,1,0,0
86,1,20.774573,4.628210,1,1,0,0
87,1,14.720294,10.386966,1,1,0,0
88,1,10.120994,8.022365,1,1,0,0
89,1,6.984302,6.958473,1,1,0,0
90,1,2.434723,6.738678,1,1,0,0
91,1,8.003365,10.822888,1,1,0,0
92,1,8.874020,2.945493,1,1,0,0
93,1,10.989293,10.682633,1,1,0,0
94,1,18.895800,12.336732,1,1,0,0
95,1,17.573363,11.354634,1,1,0,0
96,1,3.315748,7.292419,1,1,0,0
97,1,15.374612,4.248906,1,1,0,0
98,1,15.608398,7.713054,1,1,0,0
99,1,24.753986,9.520959,1,1,0,0
100,1,11.387612,6.717949,1,1,0,0
101,1,14.025416,19.057642,1,1,0,0
102,1,8.312696,10.181004,1,1,0,0
103,1,5.173890,6.161455,1,1,0,0
104,1,5.194154,8.018973,1,1,0,0
105,1,28.255606,6.178228,1,1,0,0
106,1,12.189494,10.383646,1,1,0,0
107,1,3.127223,2.432920,1,1,0,0
108,1,21.095205,6.050871,1,1,0,0
109,1,16.691770,9.934546,1,1,0,0
110,1,9.205980,11.927505,1,1,0,0
111,1,9.050220,12.039480,1,1,0,0
112,1,3.623501,9.044684,1,1,0,0
113,1,9.199173,10.635065,1,1,0,0
114,1,2.848461,5.099996,1,1,0,0
115,1,11.289556,2.564534,1,1,0,0
116,1,24.057757,8.804640,1,1,0,0
117,1,12.828651,13.336521,1,1,0,0
118,1,4.296291,6.969024,1,1,0,0
119,1,14.707947,19.036020,1,1,0,0
120,1,3.611740,3.292159,1,1,0,0
121,1,10.174739,5.240068,1,1,0,0
122,1,8.620124,3.798461,1,1,0,0
123,1,7.583911,3.840473,1,1,0,0
124,1,8.544874,7.972465,1,1,0,0
125,0,30.238052,nan,1,0,0,1
126,1,5.671252,1.596077,1,1,0,0
