idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,3.343459,12.728751,1,1,0,0
1,1,2.715110,9.110751,1,1,0,0
2,1,5.344992,5.947376,1,1,0,0
3,1,5.521035,6.927485,1,1,0,0
4,1,5.453110,9.775898,1,1,0,0
5,1,11.101443,9.865003,1,1,0,0
6,1,4.164491,14.503384,1,1,0,0
7,1,2.015443,8.933023,1,1,0,0
8,1,11.337943,6.681292,1,1,0,0
9,1,7.647968,6.751863,1,1,0,0
10,1,3.883242,6.121444,1,1,0,0
11,1,8.809381,5.037095,1,1,0,0
12,1,3.476870,11.343404,1,1,0,0
13,1,3.601914,6.849299,1,1,0,0
14,1,8.082780,11.056786,1,1,0,0
15,1,2.820118,6.108717,1,1,0,0
16,1,2.215804,5.787088,1,1,0,0
17,1,9.031377,12.376267,1,1,0,0
18,1,5.026899,16.591041,1,1,0,0
19,1,0.706241,2.743448,1,1,0,0
20,1,3.042084,4.833575,1,1,0,0
21,1,6.099737,4.159387,1,1,0,0
22,1,2.914348,4.272750,1,1,0,0
23,1,3.365622,5.937304,1,1,0,0
24,1,7.495485,16.103341,1,1,0,0
25,1,1.689807,7.708139,1,1,0,0
26,1,9.244773,8.409406,1,1,0,0
27,1,2.148503,5.333566,1,1,0,0
28,1,2.301434,5.462667,1,1,0,0
29,1,4.526791,9.290286,1,1,0,0
30,1,0.604559,1.955791,1,1,0,0
31,1,12.667476,14.710066,1,1,0,0
32,1,4.942937,9.038442,1,1,0,0
33,1,7.590498,12.303857,1,1,0,0
34,1,14.936868,7.464299,1,1,0,0
35,1,4.469901,10.856115,1,1,0,0
36,1,0.669680,3.263489,1,1,0,0
37,1,5.240688,5.365621,1,1,0,0
38,1,8.427195,5.102658,1,1,0,0
39,1,0.059468,1.011983,1,1,0,0
40,1,4.944225,8.272615,1,1,0,0
41,1,0.829896,5.241264,1,1,0,0
42,1,1.674121,9.361268,1,1,0,0
43,1,4.034414,10.090032,1,1,0,0
44,1,2.269964,7.420489,1,1,0,0
45,1,7.041748,5.945003,1,1,0,0
46,1,2.091331,6.969551,1,1,0,0
47,1,3.018106,2.889487,1,1,0,0
48,1,9.063899,8.056921,1,1,0,0
49,1,2.736638,4.043519,1,1,0,0
50,1,2.380329,7.373167,1,1,0,0
51,1,0.973453,4.049488,1,1,0,0
52,1,0.799404,2.473979,1,1,0,0
53,1,9.861644,5.038566,1,1,0,0
54,1,2.720055,9.294640,1,1,0,0
55,1,1.484119,8.102982,1,1,0,0
56,1,12.553641,9.800404,1,1,0,0
57,1,1.057726,4.761312,1,1,0,0
58,1,2.815398,4.383371,1,1,0,0
59,1,0.221530,1.843606,1,1,0,0
60,1,8.066516,17.920377,1,1,0,0
61,1,1.075471,2.407344,1,1,0,0
62,1,2.043499,3.148108,1,1,0,0
63,1,6.287454,15.792156,1,1,0,0
64,1,3.121853,8.411122,1,1,0,0
65,1,6.134584,7.566646,1,1,0,0
66,1,0.473377,2.654544,1,1,0,0
67,1,2.403740,6.075092,1,1,0,0
68,1,4.712225,8.687827,1,1,0,0
69,1,1.300278,1.492528,1,1,0,0
70,1,9.380574,15.982536,1,1,0,0
71,1,2.095283,1.093791,1,1,0,0
72,1,11.124135,4.176073,1,1,0,0
73,1,7.215492,18.291967,1,1,0,0
74,1,3.821599,7.060877,1,1,0,0
75,1,13.254364,11.952514,1,1,0,0
76,1,9.228107,12.290688,1,1,0,0
77,1,9.531316,7.500773,1,1,0,0
78,1,0.336078,1.673648,1,1,0,0
79,1,0.596456,2.132455,1,1,0,0
80,1,2.496672,8.657902,1,1,0,0
81,1,1.409553,7.270374,1,1,0,0
82,1,6.020425,12.751308,1,1,0,0
83,1,2.645086,7.209383,1,1,0,0
84,1,4.195421,8.566387,1,1,0,0
85,1,2.513214,6.500434,1,1,0,0
86,1,0.434719,1.883993,1,1,0,0
87,1,4.686421,13.481656,1,1,0,0
88,1,1.313945,5.753758,1,1,0,0
89,1,1.684321,4.651828,1,1,0,0
90,1,6.340337,19.287113,1,1,0,0
91,1,17.060468,9.270476,1,1,0,0
92,1,2.672102,7.074304,1,1,0,0
93,1,8.627686,9.191288,1,1,0,0
94,1,6.773458,11.703057,1,1,0,0
95,1,5.454457,9.363323,1,1,0,0
96,1,14.923136,7.320707,1,1,0,0
97,1,1.466922,4.298240,1,1,0,0
98,1,4.572528,2.174523,1,1,0,0
99,1,9.914784,10.923626,1,1,0,0
100,1,0.410397,1.506777,1,1,0,0
101,1,9.421515,5.070329,1,1,0,0
102,1,1.896143,3.107604,1,1,0,0
103,1,12.309013,7.791207,1,1,0,0
104,1,7.766947,10.506646,1,1,0,0
105,1,14.808540,6.954478,1,1,0,0
106,1,0.532643,3.158056,1,1,0,0
107,1,5.492883,17.055343,1,1,0,0
108,1,9.104565,17.861955,1,1,0,0
109,1,2.472038,1.116917,1,1,0,0
110,1,7.912097,15.537760,1,1,0,0
111,1,9.891890,7.814537,1,1,0,0
112,1,7.330732,7.256547,1,1,0,0
113,1,2.888115,7.073356,1,1,0,0
114,1,7.032421,5.200279,1,1,0,0
115,1,7.484132,5.516937,1,1,0,0
116,1,4.236202,15.192002,1,1,0,0
117,1,2.881364,4.454468,1,1,0,0
118,1,0.545013,2.719860,1,1,0,0
119,1,7.844955,16.194627,1,1,0,0
120,1,5.736206,6.205941,1,1,0,0
121,1,4.100401,10.226701,1,1,0,0
122,1,6.615344,8.629463,1,1,0,0
123,1,3.049682,12.086166,1,1,0,0
124,1,7.769402,10.477956,1,1,0,0
125,1,3.997792,8.776616,1,1,0,0
126,1,10.659866,3.803393,1,1,0,0
127,1,3.051145,4.307228,1,1,0,0
128,1,2.168202,9.800926,1,1,0,0
129,1,6.664949,6.645075,1,1,0,0
130,1,3.683090,5.621835,1,1,0,0
131,1,2.226032,4.824952,1,1,0,0
132,1,4.827583,9.755905,1,1,0,0
133,1,1.715205,3.664273,1,1,0,0
134,1,5.256338,10.742588,1,1,0,0
135,1,1.402670,2.945111,1,1,0,0
136,1,3.848199,4.940321,1,1,0,0
137,1,8.990193,10.269193,1,1,0,0
138,1,3.751730,8.707500,1,1,0,0
139,1,0.053398,0.557558,1,1,0,0
140,1,3.092451,8.626104,1,1,0,0
141,1,0.823070,3.602306,1,1,0,0
142,1,5.536533,6.029200,1,1,0,0
143,1,0.014246,0.468448,1,1,0,0
144,1,4.155046,7.655300,1,1,0,0
145,1,4.233625,6.485154,1,1,0,0
146,1,10.325837,6.168214,1,1,0,0
147,1,7.188091,9.081747,1,1,0,0
148,1,1.896988,3.870296,1,1,0,0
149,1,0.320304,1.211316,1,1,0,0
150,1,12.079220,4.652564,1,1,0,0
151,1,2.376071,4.041011,1,1,0,0
152,1,4.108033,5.811884,1,1,0,0
153,1,5.490415,8.858121,1,1,0,0
154,1,4.393795,8.203529,1,1,0,0
155,1,0.136894,1.101883,1,1,0,0
156,1,2.505348,9.604089,1,1,0,0
157,1,1.036688,5.549810,1,1,0,0
158,1,0.172926,1.744499,1,1,0,0
159,1,2.000079,8.793116,1,1,0,0
160,1,3.433695,8.975183,1,1,0,0
161,1,2.420347,9.596253,1,1,0,0
162,1,2.547379,4.499006,1,1,0,0
163,1,2.387832,7.372397,1,1,0,0
164,1,6.330766,10.478226,1,1,0,0
165,1,10.884637,10.958988,1,1,0,0
166,1,5.313525,6.855352,1,1,0,0
167,1,7.463927,7.961972,1,1,0,0
168,1,0.054285,0.604735,1,1,0,0
169,1,4.474640,8.374945,1,1,0,0
170,1,9.217028,9.533563,1,1,0,0
171,1,3.638333,5.059466,1,1,0,0
172,1,10.961615,11.460362,1,1,0,0
173,1,11.061709,3.327741,1,1,0,0
174,1,4.119470,11.840700,1,1,0,0
175,1,3.975331,2.666759,1,1,0,0
176,1,2.474717,6.417278,1,1,0,0
177,1,1.450795,2.698578,1,1,0,0
178,1,2.109841,4.382468,1,1,0,0
179,1,9.812296,7.184838,1,1,0,0
180,1,13.903436,4.658653,1,1,0,0
181,1,6.017829,11.879986,1,1,0,0
182,1,3.639644,11.717676,1,1,0,0
183,1,4.590006,11.263480,1,1,0,0
184,1,0.236436,2.006684,1,1,0,0
185,1,3.496913,5.870514,1,1,0,0
186,1,6.594553,15.069893,1,1,0,0
187,1,3.748516,7.252149,1,1,0,0
188,1,2.981969,4.894573,1,1,0,0
189,1,7.254246,12.549400,1,1,0,0
190,1,7.195934,4.479172,1,1,0,0
