idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,9.148772,3.462062,1,1,0,0
1,1,28.157953,6.572128,1,1,0,0
2,1,14.679783,7.453775,1,1,0,0
3,1,11.299760,8.312174,1,1,0,0
4,0,30.221401,nan,1,0,0,1
5,1,11.273580,3.524871,1,1,0,0
6,1,7.852901,8.510931,1,1,0,0
7,0,30.267954,nan,1,0,0,1
8,1,22.948925,11.936034,1,1,0,0
9,1,27.883136,10.336590,1,1,0,0
10,1,4.509157,1.061795,1,1,0,0
11,1,6.767062,7.230104,1,1,0,0
12,1,20.576503,14.662044,1,1,0,0
13,1,13.977819,4.173865,1,1,0,0
14,1,23.598219,11.092540,1,1,0,0
15,0,30.283589,nan,1,0,0,1
16,1,4.879136,3.602374,1,1,0,0
17,1,9.299427,10.598424,1,1,0,0
18,1,27.287238,4.596653,1,1,0,0
19,1,5.724106,3.871857,1,1,0,0
20,1,13.134517,6.124748,1,1,0,0
21,1,6.660500,2.941929,1,1,0,0
22,1,7.254451,9.016918,1,1,0,0
23,1,4.858663,8.481267,1,1,0,0
24,1,1.116726,3.900157,1,1,0,0
25,1,21.786932,15.137336,1,1,0,0
26,1,0.545428,0.909754,1,1,0,0
27,1,19.370444,10.498814,1,1,0,0
28,1,2.561658,1.745122,1,1,0,0
29,1,3.557582,3.409623,1,1,0,0
30,1,22.960744,6.911046,1,1,0,0
31,0,30.357671,nan,1,0,0,1
32,1,12.626813,8.988448,1,1,0,0
33,0,30.104604,nan,1,0,0,1
34,1,10.763898,11.490143,1,1,0,0
35,1,19.031967,15.476546,1,1,0,0
36,1,24.106620,11.694274,1,1,0,0
37,0,30.300606,nan,1,0,0,1
38,1,3.893439,1.468266,1,1,0,0
39,1,23.775655,9.292078,1,1,0,0
40,1,9.704523,4.559251,1,1,0,0
41,1,7.119645,9.832086,1,1,0,0
42,0,30.080527,nan,1,0,0,1
43,1,19.763087,11.968928,1,1,0,0
44,1,27.772909,4.373749,1,1,0,0
45,1,9.204264,3.592416,1,1,0,0
46,1,9.691688,5.701002,1,1,0,0
47,1,17.721804,11.626907,1,1,0,0
48,1,16.293546,10.353197,1,1,0,0
49,1,20.860786,6.790415,1,1,0,0
50,0,30.242755,nan,1,0,0,1
51,1,15.296389,9.728956,1,1,0,0
52,1,13.122850,2.860901,1,1,0,0
53,1,21.024020,11.962355,1,1,0,0
54,1,2.269623,3.706520,1,1,0,0
55,0,30.122476,nan,1,0,0,1
56,1,0.116017,0.532956,1,1,0,0
57,1,18.670432,2.656137,1,1,0,0
58,1,29.257320,8.720833,1,1,0,0
59,1,17.167747,4.263881,1,1,0,0
60,1,5.947031,9.826147,1,1,0,0
61,1,8.007443,5.672110,1,1,0,0
62,1,25.187068,15.860654,1,1,0,0
63,0,30.048070,nan,1,0,0,1
64,1,1.134679,3.893243,1,1,0,0
65,1,20.058388,7.227099,1,1,0,0
66,1,10.615854,9.339317,1,1,0,0
67,1,11.756648,7.148833,1,1,0,0
68,1,9.257357,10.360505,1,1,0,0
69,1,16.302865,15.081146,1,1,0,0
70,1,2.263663,2.408376,1,1,0,0
71,1,10.371791,9.548442,1,1,0,0
