idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,2.033006,5.167150,1,1,0,0
1,1,1.373357,6.500629,1,1,0,0
2,1,1.407285,5.510276,1,1,0,0
3,1,13.052445,3.579445,1,1,0,0
4,1,1.483738,4.483413,1,1,0,0
5,1,2.114767,9.997566,1,1,0,0
6,1,2.835098,9.429886,1,1,0,0
7,1,2.491109,11.519674,1,1,0,0
8,1,0.966799,4.952285,1,1,0,0
9,1,6.781954,3.004299,1,1,0,0
10,1,2.771466,7.998219,1,1,0,0
11,1,1.797108,4.633101,1,1,0,0
12,1,4.907356,14.241925,1,1,0,0
13,1,4.508671,8.757151,1,1,0,0
14,1,3.032656,9.113043,1,1,0,0
15,1,2.260251,10.108085,1,1,0,0
16,1,1.682582,8.790907,1,1,0,0
17,1,5.444876,23.517061,1,1,0,0
18,1,0.351425,4.203270,1,1,0,0
19,1,2.965848,1.374177,1,1,0,0
20,1,1.710079,6.529593,1,1,0,0
21,1,3.512534,8.802705,1,1,0,0
22,1,0.016551,0.550637,1,1,0,0
23,1,0.705094,5.135693,1,1,0,0
24,1,4.909603,7.598566,1,1,0,0
25,1,6.603110,8.290692,1,1,0,0
26,1,0.205881,2.862997,1,1,0,0
27,1,4.606324,7.755277,1,1,0,0
28,1,1.882959,3.012090,1,1,0,0
29,1,2.151389,3.553997,1,1,0,0
30,1,0.948057,3.745034,1,1,0,0
31,1,1.898804,3.642443,1,1,0,0
32,1,3.875952,15.957032,1,1,0,0
33,1,2.031552,6.650138,1,1,0,0
34,1,1.455990,6.278889,1,1,0,0
35,1,2.071211,5.785980,1,1,0,0
36,1,0.327334,1.571207,1,1,0,0
37,1,1.797375,9.314261,1,1,0,0
38,1,2.065133,8.256933,1,1,0,0
39,1,0.968545,4.833739,1,1,0,0
40,1,3.365767,12.714698,1,1,0,0
41,1,2.832150,8.504354,1,1,0,0
42,1,1.872245,4.410888,1,1,0,0
43,1,2.715430,10.829114,1,1,0,0
44,1,1.875051,6.212719,1,1,0,0
45,1,1.172426,8.392692,1,1,0,0
46,1,3.992232,9.419481,1,1,0,0
47,1,5.357296,9.812497,1,1,0,0
48,1,1.505689,6.536697,1,1,0,0
49,1,2.005004,13.141631,1,1,0,0
50,1,2.585873,10.185581,1,1,0,0
51,1,4.453666,5.649651,1,1,0,0
52,1,2.495399,12.458476,1,1,0,0
53,1,3.349126,6.713388,1,1,0,0
54,1,0.317858,4.732175,1,1,0,0
55,1,0.664169,4.369210,1,1,0,0
56,1,1.261953,10.209835,1,1,0,0
57,1,2.924090,4.655986,1,1,0,0
58,1,2.868618,8.733717,1,1,0,0
59,1,2.521365,10.695668,1,1,0,0
60,1,0.165432,0.860944,1,1,0,0
61,1,4.907583,13.397858,1,1,0,0
62,1,6.357376,10.768952,1,1,0,0
63,1,1.325208,8.345800,1,1,0,0
64,1,3.947319,7.827352,1,1,0,0
65,1,1.620966,7.133087,1,1,0,0
66,1,3.877771,16.975898,1,1,0,0
67,1,10.241407,5.309523,1,1,0,0
68,1,1.436485,7.031097,1,1,0,0
69,1,4.248866,11.109780,1,1,0,0
70,1,2.303056,8.926833,1,1,0,0
71,1,1.110543,7.199977,1,1,0,0
72,1,1.535941,10.037224,1,1,0,0
73,1,0.112851,1.505725,1,1,0,0
74,1,4.070200,11.156765,1,1,0,0
75,1,1.469348,6.262044,1,1,0,0
76,1,2.945632,8.434540,1,1,0,0
77,1,5.470340,7.297591,1,1,0,0
78,1,2.744616,7.594293,1,1,0,0
79,1,2.067213,7.796641,1,1,0,0
80,1,0.887585,8.038192,1,1,0,0
81,1,0.642309,4.577678,1,1,0,0
82,1,4.397353,4.225596,1,1,0,0
83,1,2.024347,6.448612,1,1,0,0
84,1,2.712788,10.293727,1,1,0,0
85,1,2.017172,11.229549,1,1,0,0
86,1,0.304260,0.984406,1,1,0,0
87,1,2.103044,12.311186,1,1,0,0
88,1,1.497576,6.745733,1,1,0,0
89,1,1.130950,4.910729,1,1,0,0
90,1,0.139986,1.541219,1,1,0,0
91,1,5.234902,7.015715,1,1,0,0
92,1,0.357877,1.964872,1,1,0,0
93,1,2.555436,7.355427,1,1,0,0
94,1,6.693203,4.480582,1,1,0,0
95,1,3.429387,5.757263,1,1,0,0
96,1,2.899541,11.574490,1,1,0,0
97,1,4.542720,7.543075,1,1,0,0
98,1,3.614732,9.768023,1,1,0,0
99,1,1.416670,7.412117,1,1,0,0
100,1,1.983405,8.694645,1,1,0,0
101,1,1.576389,9.179206,1,1,0,0
102,1,1.132426,3.711626,1,1,0,0
103,1,3.053676,8.030702,1,1,0,0
104,1,1.225487,2.898546,1,1,0,0
105,1,4.717447,8.309337,1,1,0,0
106,1,2.582787,13.498502,1,1,0,0
107,1,2.378730,10.957655,1,1,0,0
108,1,2.407351,8.683907,1,1,0,0
109,1,2.260708,10.346325,1,1,0,0
110,1,0.787732,4.684959,1,1,0,0
111,1,4.746656,6.518004,1,1,0,0
112,1,1.280128,3.637218,1,1,0,0
113,1,1.176979,5.192458,1,1,0,0
114,1,1.888913,7.715668,1,1,0,0
115,1,1.117509,2.885197,1,1,0,0
116,1,4.131963,25.069997,1,1,0,0
117,1,0.029985,0.327034,1,1,0,0
118,1,0.491768,1.126647,1,1,0,0
119,1,1.184983,7.137255,1,1,0,0
120,1,3.342314,10.551289,1,1,0,0
121,1,2.868104,9.441905,1,1,0,0
122,1,3.637373,8.132320,1,1,0,0
123,1,2.120048,6.527807,1,1,0,0
124,1,1.773124,10.016871,1,1,0,0
125,1,0.863396,7.707063,1,1,0,0
126,1,4.717432,14.274705,1,1,0,0
127,1,1.830067,5.383631,1,1,0,0
128,1,1.343049,11.389112,1,1,0,0
129,1,2.989198,7.671751,1,1,0,0
130,1,2.585120,9.544678,1,1,0,0
131,1,2.462269,11.762659,1,1,0,0
132,1,0.433293,3.791969,1,1,0,0
133,1,3.574004,4.834041,1,1,0,0
134,1,5.341301,17.743479,1,1,0,0
135,1,2.859103,8.435784,1,1,0,0
136,1,6.541274,7.027781,1,1,0,0
137,1,0.136553,0.909406,1,1,0,0
138,1,2.326501,14.853609,1,1,0,0
139,1,0.865717,4.268299,1,1,0,0
140,1,2.981622,5.321664,1,1,0,0
141,1,0.687685,5.737746,1,1,0,0
142,1,0.111213,1.516913,1,1,0,0
143,1,2.462421,11.049194,1,1,0,0
144,1,0.812979,2.989503,1,1,0,0
145,1,0.484266,2.783159,1,1,0,0
146,1,0.911274,1.905547,1,1,0,0
147,1,0.304891,2.695202,1,1,0,0
148,1,2.240382,7.639727,1,1,0,0
149,1,2.349002,12.667915,1,1,0,0
150,1,0.944833,6.023748,1,1,0,0
151,1,0.600238,4.619712,1,1,0,0
152,1,2.896503,15.025288,1,1,0,0
153,1,2.348857,7.491246,1,1,0,0
