idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,1.113982,2.924122,1,1,0,0
1,1,1.780573,3.049321,1,1,0,0
2,1,0.751893,2.446044,1,1,0,0
3,1,1.515463,2.128151,1,1,0,0
4,1,4.159291,4.186131,1,1,0,0
5,1,1.698085,1.787109,1,1,0,0
6,1,0.492038,1.808514,1,1,0,0
7,1,6.436942,7.048157,1,1,0,0
8,1,1.631336,3.672940,1,1,0,0
9,1,0.430326,1.176682,1,1,0,0
10,1,0.776901,1.437515,1,1,0,0
11,1,0.443978,1.142347,1,1,0,0
12,1,0.258687,1.830473,1,1,0,0
13,1,3.242170,3.013210,1,1,0,0
14,1,5.010637,5.698399,1,1,0,0
15,1,1.299814,2.080715,1,1,0,0
16,1,0.522802,2.261693,1,1,0,0
17,1,4.171670,4.291812,1,1,0,0
18,1,1.857487,2.803158,1,1,0,0
19,1,4.441040,6.250393,1,1,0,0
20,1,0.362022,2.016825,1,1,0,0
21,1,1.826110,3.832811,1,1,0,0
22,1,0.593456,1.672573,1,1,0,0
23,1,0.317593,1.330876,1,1,0,0
24,1,0.628881,1.362152,1,1,0,0
25,1,1.094438,1.742848,1,1,0,0
26,1,0.667177,1.156129,1,1,0,0
27,1,0.257620,1.820386,1,1,0,0
28,1,1.413554,3.678325,1,1,0,0
29,1,1.276173,3.845968,1,1,0,0
30,1,0.690666,2.406017,1,1,0,0
31,1,2.682618,3.316617,1,1,0,0
32,1,1.440451,2.190645,1,1,0,0
33,1,2.693614,2.488759,1,1,0,0
34,1,0.944274,3.505765,1,1,0,0
35,1,0.404533,1.527229,1,1,0,0
36,1,1.663752,3.383712,1,1,0,0
37,1,0.789150,2.732104,1,1,0,0
38,1,0.387661,1.534346,1,1,0,0
39,1,0.760784,2.998862,1,1,0,0
40,1,2.275651,3.678365,1,1,0,0
41,1,0.569615,2.316878,1,1,0,0
42,1,6.217610,7.546493,1,1,0,0
43,1,3.133824,4.096278,1,1,0,0
44,1,1.179152,3.757861,1,1,0,0
45,1,0.436171,2.103980,1,1,0,0
46,1,0.770187,2.685991,1,1,0,0
47,1,0.818586,3.135282,1,1,0,0
48,1,0.777898,2.073537,1,1,0,0
49,1,0.234521,1.460405,1,1,0,0
50,1,0.595421,1.146929,1,1,0,0
51,1,1.046501,2.773892,1,1,0,0
52,1,0.466419,1.710650,1,1,0,0
53,1,0.772024,1.809274,1,1,0,0
54,1,1.089923,2.748948,1,1,0,0
55,1,0.187737,2.051303,1,1,0,0
56,1,1.297000,2.418247,1,1,0,0
57,1,1.586850,3.029566,1,1,0,0
58,1,2.360569,4.380384,1,1,0,0
59,1,0.602705,2.073591,1,1,0,0
60,1,1.312221,1.661655,1,1,0,0
61,1,0.783767,1.674231,1,1,0,0
62,1,4.608994,6.153939,1,1,0,0
63,1,0.353662,3.028770,1,1,0,0
64,1,1.576112,3.402606,1,1,0,0
65,1,2.775418,4.340322,1,1,0,0
66,1,4.344991,4.661093,1,1,0,0
67,1,1.656953,3.290618,1,1,0,0
68,1,0.427296,1.942198,1,1,0,0
69,1,0.280182,2.254225,1,1,0,0
70,1,5.254402,7.412561,1,1,0,0
71,1,1.031084,2.249030,1,1,0,0
72,1,0.679892,2.524370,1,1,0,0
73,1,0.322754,1.824064,1,1,0,0
74,1,2.236844,3.998787,1,1,0,0
75,1,3.371007,5.762616,1,1,0,0
76,1,2.177941,5.048397,1,1,0,0
77,1,0.884552,4.242333,1,1,0,0
78,1,3.809806,1.926239,1,1,0,0
79,1,1.360287,4.008363,1,1,0,0
80,1,0.836002,2.041066,1,1,0,0
81,1,1.298435,3.516306,1,1,0,0
82,1,0.355188,2.002214,1,1,0,0
83,1,2.939659,3.136573,1,1,0,0
84,1,2.934164,5.130058,1,1,0,0
85,1,2.048369,4.391949,1,1,0,0
86,1,0.556428,1.185097,1,1,0,0
87,1,3.008565,3.456219,1,1,0,0
88,1,1.565843,3.652423,1,1,0,0
89,1,0.620045,2.536190,1,1,0,0
90,1,1.384429,1.926350,1,1,0,0
91,1,0.760570,2.926819,1,1,0,0
92,1,0.846168,2.521889,1,1,0,0
93,1,2.834235,3.974929,1,1,0,0
94,1,0.838138,2.364569,1,1,0,0
95,1,0.479903,2.614904,1,1,0,0
96,1,0.806858,1.880370,1,1,0,0
97,1,0.218917,2.049926,1,1,0,0
98,1,2.730256,3.453178,1,1,0,0
99,1,3.945825,4.620060,1,1,0,0
100,1,1.022950,2.465586,1,1,0,0
101,1,0.300969,1.374811,1,1,0,0
102,1,1.137692,2.499389,1,1,0,0
103,1,1.492813,4.127853,1,1,0,0
104,1,1.619431,3.234279,1,1,0,0
105,1,0.315394,2.107119,1,1,0,0
106,1,0.330598,1.786968,1,1,0,0
107,1,2.134715,3.929884,1,1,0,0
108,1,0.904815,3.101152,1,1,0,0
