idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,2.720605,3.401354,1,1,0,0
1,1,0.672480,2.004400,1,1,0,0
2,1,2.119474,1.364421,1,1,0,0
3,1,0.814863,1.968902,1,1,0,0
4,1,1.552105,2.682184,1,1,0,0
5,1,3.596986,1.442223,1,1,0,0
6,1,2.147988,1.956047,1,1,0,0
7,1,1.862996,3.440884,1,1,0,0
8,1,0.275457,1.541729,1,1,0,0
9,1,4.289635,5.554354,1,1,0,0
10,1,2.628793,3.217366,1,1,0,0
11,1,1.172172,3.841172,1,1,0,0
12,1,1.917837,3.034647,1,1,0,0
13,1,1.477636,2.369757,1,1,0,0
14,1,1.344540,2.517790,1,1,0,0
15,1,1.153489,3.051695,1,1,0,0
16,1,1.325980,2.378042,1,1,0,0
17,1,1.670751,2.182611,1,1,0,0
18,1,2.517749,3.126649,1,1,0,0
19,1,0.352635,1.295625,1,1,0,0
20,1,3.999830,3.668831,1,1,0,0
21,1,3.224160,4.938700,1,1,0,0
22,1,0.629387,2.193260,1,1,0,0
23,1,0.552491,1.386877,1,1,0,0
24,1,0.768943,2.177364,1,1,0,0
25,1,2.204169,3.508882,1,1,0,0
26,1,0.640286,1.030198,1,1,0,0
27,1,2.114733,2.462477,1,1,0,0
28,1,3.183049,2.586097,1,1,0,0
29,1,1.480160,2.870848,1,1,0,0
30,1,3.941564,3.605049,1,1,0,0
31,1,0.914877,2.193508,1,1,0,0
32,1,0.448869,1.713030,1,1,0,0
33,1,0.691410,1.598945,1,1,0,0
34,1,2.120420,3.321718,1,1,0,0
35,1,2.143782,3.207075,1,1,0,0
36,1,3.429365,4.309625,1,1,0,0
37,1,1.270658,2.196769,1,1,0,0
38,1,0.786575,1.861936,1,1,0,0
39,1,2.026019,2.660311,1,1,0,0
40,1,0.649493,2.301512,1,1,0,0
41,1,5.932754,4.798135,1,1,0,0
42,1,1.390885,2.385466,1,1,0,0
43,1,0.683735,1.888010,1,1,0,0
44,1,4.138586,3.757843,1,1,0,0
45,1,3.008256,4.124695,1,1,0,0
46,1,0.913329,3.381724,1,1,0,0
47,1,5.260635,6.220318,1,1,0,0
48,1,0.994360,2.815128,1,1,0,0
49,1,0.956846,2.206771,1,1,0,0
50,1,5.495770,3.956634,1,1,0,0
51,1,4.821170,4.072706,1,1,0,0
52,1,2.662592,2.582830,1,1,0,0
53,1,1.277140,2.213436,1,1,0,0
54,1,2.977694,3.194627,1,1,0,0
55,1,4.233340,5.104816,1,1,0,0
56,1,1.717637,3.610003,1,1,0,0
57,1,1.285038,3.087553,1,1,0,0
58,1,1.956148,3.658421,1,1,0,0
59,1,1.946350,3.161684,1,1,0,0
60,1,2.315789,2.649120,1,1,0,0
61,1,0.878069,2.254881,1,1,0,0
62,1,1.513801,2.468968,1,1,0,0
63,1,0.486821,1.594868,1,1,0,0
64,1,0.697203,2.211393,1,1,0,0
65,1,3.308444,3.691527,1,1,0,0
66,1,2.262797,3.301197,1,1,0,0
67,1,2.853522,5.087874,1,1,0,0
68,1,4.291117,3.893713,1,1,0,0
69,1,0.661909,2.643979,1,1,0,0
70,1,9.153526,4.341042,1,1,0,0
71,1,2.381008,4.602859,1,1,0,0
72,1,3.925334,4.785524,1,1,0,0
73,1,2.198378,2.865870,1,1,0,0
74,1,1.308443,2.721137,1,1,0,0
75,1,3.818891,4.272015,1,1,0,0
76,1,1.904108,1.556437,1,1,0,0
77,1,0.395075,2.020877,1,1,0,0
78,1,1.022995,2.459295,1,1,0,0
79,1,0.937277,3.361109,1,1,0,0
80,1,7.196134,2.557956,1,1,0,0
81,1,3.708350,2.922693,1,1,0,0
82,1,5.052792,5.455602,1,1,0,0
83,1,0.826617,1.797060,1,1,0,0
84,1,1.046140,2.621619,1,1,0,0
85,1,3.871218,3.830160,1,1,0,0
86,1,0.871602,1.908808,1,1,0,0
87,1,4.690930,3.151395,1,1,0,0
88,1,1.729589,2.241235,1,1,0,0
89,1,1.612763,3.233928,1,1,0,0
90,1,1.044395,3.374470,1,1,0,0
91,1,1.928468,2.192499,1,1,0,0
92,1,2.207463,3.913720,1,1,0,0
93,1,2.852170,4.448304,1,1,0,0
94,1,12.901982,6.433471,1,1,0,0
95,1,1.458619,2.834519,1,1,0,0
96,1,6.920412,2.868808,1,1,0,0
97,1,6.967944,6.913697,1,1,0,0
98,1,4.437258,5.013164,1,1,0,0
99,1,3.009492,3.281846,1,1,0,0
100,1,6.372549,4.103138,1,1,0,0
101,1,0.291855,1.626863,1,1,0,0
102,1,0.520419,1.581253,1,1,0,0
103,1,3.715682,4.761290,1,1,0,0
104,1,4.696157,7.829195,1,1,0,0
105,1,1.065914,2.496289,1,1,0,0
106,1,0.583296,2.348900,1,1,0,0
107,1,1.340229,2.321153,1,1,0,0
108,1,0.383827,1.353510,1,1,0,0
109,1,0.646054,2.584393,1,1,0,0
110,1,0.297589,1.760646,1,1,0,0
111,1,2.371594,3.751330,1,1,0,0
112,1,4.602252,4.035739,1,1,0,0
113,1,0.197933,1.113952,1,1,0,0
114,1,1.672936,2.719117,1,1,0,0
115,1,1.138463,2.159220,1,1,0,0
116,1,0.955435,2.019589,1,1,0,0
117,1,3.953723,5.174506,1,1,0,0
118,1,0.985358,2.073433,1,1,0,0
119,1,1.640900,4.644716,1,1,0,0
120,1,2.701755,3.524407,1,1,0,0
121,1,6.215314,6.017575,1,1,0,0
122,1,2.837043,3.458137,1,1,0,0
123,1,1.529719,2.709665,1,1,0,0
124,1,1.517786,3.898719,1,1,0,0
125,1,0.585811,2.417608,1,1,0,0
126,1,0.722513,1.854834,1,1,0,0
127,1,2.521457,3.920031,1,1,0,0
128,1,0.791555,2.546717,1,1,0,0
129,1,0.830517,2.615005,1,1,0,0
130,1,3.363657,4.530351,1,1,0,0
131,1,0.760615,2.966987,1,1,0,0
132,1,1.215942,2.951764,1,1,0,0
133,1,4.755284,7.204825,1,1,0,0
134,1,1.521917,3.606800,1,1,0,0
135,1,0.317618,1.803556,1,1,0,0
136,1,2.979430,4.181604,1,1,0,0
137,1,2.832675,4.204136,1,1,0,0
138,1,0.371765,1.389475,1,1,0,0
139,1,1.636128,5.000154,1,1,0,0
140,1,0.629129,1.209543,1,1,0,0
141,1,0.798941,1.957111,1,1,0,0
142,1,0.841465,1.128534,1,1,0,0
143,1,0.835580,2.367492,1,1,0,0
144,1,1.492821,1.975669,1,1,0,0
145,1,0.660281,2.518344,1,1,0,0
146,1,1.883636,5.436233,1,1,0,0
147,1,5.330352,7.118795,1,1,0,0
148,1,2.308837,3.221365,1,1,0,0
149,1,0.586736,1.778872,1,1,0,0
150,1,0.568930,1.595500,1,1,0,0
151,1,6.753527,6.548922,1,1,0,0
152,1,2.315931,3.708571,1,1,0,0
153,1,6.751677,4.155047,1,1,0,0
154,1,0.527819,1.639081,1,1,0,0
155,1,2.097290,3.282101,1,1,0,0
156,1,2.108880,2.037380,1,1,0,0
157,1,0.780624,3.270451,1,1,0,0
158,1,1.032634,1.172423,1,1,0,0
159,1,1.554185,2.308970,1,1,0,0
160,1,4.130464,5.259269,1,1,0,0
161,1,1.719952,2.336856,1,1,0,0
162,1,5.602989,4.812375,1,1,0,0
163,1,0.926526,1.639304,1,1,0,0
