idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,2.339917,2.743100,1,1,0,0
1,1,0.813049,1.416255,1,1,0,0
2,1,0.670731,1.647801,1,1,0,0
3,1,1.365494,2.355766,1,1,0,0
4,1,2.633110,4.205220,1,1,0,0
5,1,0.662850,1.807582,1,1,0,0
6,1,1.462700,3.385543,1,1,0,0
7,1,0.208845,1.318225,1,1,0,0
8,1,0.473311,2.012019,1,1,0,0
9,1,4.041306,4.989646,1,1,0,0
10,1,1.637186,3.368475,1,1,0,0
11,1,0.786818,2.221244,1,1,0,0
12,1,0.438390,1.861591,1,1,0,0
13,1,2.006777,5.975810,1,1,0,0
14,1,3.131242,5.136161,1,1,0,0
15,1,0.506429,3.649259,1,1,0,0
16,1,0.528805,2.090889,1,1,0,0
17,1,0.630913,2.161062,1,1,0,0
18,1,0.715591,2.376874,1,1,0,0
19,1,1.762695,3.141554,1,1,0,0
20,1,0.378450,1.213363,1,1,0,0
21,1,1.795704,3.034312,1,1,0,0
22,1,3.931149,5.254283,1,1,0,0
23,1,0.347726,1.544192,1,1,0,0
24,1,1.837217,2.315964,1,1,0,0
25,1,3.470110,5.297897,1,1,0,0
26,1,1.207115,2.342782,1,1,0,0
27,1,7.149588,6.071695,1,1,0,0
28,1,0.892668,2.609495,1,1,0,0
29,1,0.701847,1.378678,1,1,0,0
30,1,0.269384,1.403604,1,1,0,0
31,1,1.306120,3.069633,1,1,0,0
32,1,4.595395,4.492324,1,1,0,0
33,1,0.630250,1.858352,1,1,0,0
34,1,0.387993,1.718909,1,1,0,0
35,1,0.642351,1.169764,1,1,0,0
36,1,2.892260,2.450013,1,1,0,0
37,1,2.268431,3.025784,1,1,0,0
38,1,0.349188,2.719930,1,1,0,0
39,1,1.083702,2.635664,1,1,0,0
40,1,0.655145,1.922500,1,1,0,0
41,1,0.337284,1.559579,1,1,0,0
42,1,1.717009,3.352913,1,1,0,0
43,1,2.248744,4.252176,1,1,0,0
44,1,0.554748,2.213051,1,1,0,0
45,1,0.517629,2.049264,1,1,0,0
46,1,2.740866,3.724532,1,1,0,0
47,1,1.401533,3.130383,1,1,0,0
48,1,1.812857,5.313258,1,1,0,0
49,1,0.598291,2.400547,1,1,0,0
50,1,1.073605,3.212204,1,1,0,0
51,1,1.417207,2.477402,1,1,0,0
52,1,2.368490,3.856378,1,1,0,0
53,1,0.637388,1.778320,1,1,0,0
54,1,1.934398,4.163801,1,1,0,0
55,1,0.316070,1.510172,1,1,0,0
56,1,0.724803,3.651241,1,1,0,0
57,1,2.397020,2.971226,1,1,0,0
58,1,5.480132,5.183983,1,1,0,0
59,1,0.618985,1.368220,1,1,0,0
60,1,0.392660,2.131980,1,1,0,0
61,1,1.219669,2.384450,1,1,0,0
62,1,4.323806,5.454755,1,1,0,0
63,1,1.740086,2.983112,1,1,0,0
64,1,3.577878,3.773428,1,1,0,0
65,1,1.023767,2.570801,1,1,0,0
66,1,0.393703,2.392655,1,1,0,0
67,1,2.410845,4.431657,1,1,0,0
68,1,1.802767,4.274425,1,1,0,0
69,1,0.824386,2.336691,1,1,0,0
70,1,0.814080,1.166531,1,1,0,0
71,1,0.751663,2.067820,1,1,0,0
72,1,1.118602,3.516141,1,1,0,0
73,1,1.273774,3.098252,1,1,0,0
74,1,1.756625,2.871571,1,1,0,0
75,1,2.091326,3.427069,1,1,0,0
76,1,0.608825,1.344570,1,1,0,0
77,1,6.015442,3.867028,1,1,0,0
78,1,0.780584,1.928412,1,1,0,0
79,1,0.401734,2.240569,1,1,0,0
80,1,1.821850,2.506253,1,1,0,0
81,1,2.277255,5.130118,1,1,0,0
82,1,0.383039,2.360880,1,1,0,0
83,1,0.300790,2.390448,1,1,0,0
84,1,2.127036,2.211280,1,1,0,0
85,1,4.135436,5.146074,1,1,0,0
86,1,0.762834,2.713606,1,1,0,0
87,1,2.343434,4.120973,1,1,0,0
88,1,0.878380,2.449886,1,1,0,0
89,1,3.557993,6.183907,1,1,0,0
90,1,1.245513,2.229170,1,1,0,0
91,1,0.467788,2.479194,1,1,0,0
92,1,1.153264,2.693400,1,1,0,0
93,1,0.535569,2.482725,1,1,0,0
94,1,3.926869,3.471362,1,1,0,0
95,1,1.476417,1.763870,1,1,0,0
96,1,2.226034,3.566139,1,1,0,0
97,1,1.661033,2.192627,1,1,0,0
98,1,0.980769,3.065410,1,1,0,0
99,1,0.790143,1.808866,1,1,0,0
100,1,0.251638,2.203662,1,1,0,0
101,1,1.264457,2.245659,1,1,0,0
102,1,0.425769,1.780704,1,1,0,0
103,1,1.368038,3.438664,1,1,0,0
