idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,0.662620,4.472033,1,1,0,0
1,1,0.294313,1.589053,1,1,0,0
2,1,0.756139,3.316519,1,1,0,0
3,1,1.307289,4.118954,1,1,0,0
4,1,1.673333,4.454232,1,1,0,0
5,1,0.262950,1.518107,1,1,0,0
6,1,0.241939,2.506189,1,1,0,0
7,1,1.293936,5.525525,1,1,0,0
8,1,0.548677,2.277027,1,1,0,0
9,1,1.272412,5.258526,1,1,0,0
10,1,0.167420,2.223283,1,1,0,0
11,1,1.737561,4.710847,1,1,0,0
12,1,0.750636,4.346310,1,1,0,0
13,1,1.847052,6.204392,1,1,0,0
14,1,0.985615,5.114792,1,1,0,0
15,1,0.670969,4.066058,1,1,0,0
16,1,0.872914,3.582935,1,1,0,0
17,1,0.267700,2.058164,1,1,0,0
18,1,0.073223,1.364307,1,1,0,0
19,1,0.367864,2.161286,1,1,0,0
20,1,0.319917,2.146191,1,1,0,0
21,1,0.420828,3.869653,1,1,0,0
22,1,0.550580,2.549867,1,1,0,0
23,1,0.255986,2.693824,1,1,0,0
24,1,1.102412,4.899714,1,1,0,0
25,1,0.752882,3.259817,1,1,0,0
26,1,0.801441,3.165950,1,1,0,0
27,1,1.103587,3.140974,1,1,0,0
28,1,0.552720,3.224599,1,1,0,0
29,1,0.615264,5.270268,1,1,0,0
30,1,1.429920,6.421639,1,1,0,0
31,1,0.113441,1.653689,1,1,0,0
32,1,0.411086,2.445267,1,1,0,0
33,1,0.642540,3.796121,1,1,0,0
34,1,0.164242,1.884550,1,1,0,0
35,1,0.214161,2.015951,1,1,0,0
36,1,0.484088,4.265936,1,1,0,0
37,1,0.994009,3.124663,1,1,0,0
38,1,2.074022,8.465942,1,1,0,0
39,1,0.083882,1.227037,1,1,0,0
40,1,0.598340,2.710166,1,1,0,0
41,1,0.896921,6.081704,1,1,0,0
42,1,0.734013,4.174666,1,1,0,0
43,1,0.315513,2.328785,1,1,0,0
44,1,0.248905,2.246394,1,1,0,0
45,1,1.146436,6.910030,1,1,0,0
46,1,0.643279,3.356660,1,1,0,0
47,1,0.641735,2.593590,1,1,0,0
48,1,0.549454,3.349634,1,1,0,0
49,1,0.538921,5.131813,1,1,0,0
50,1,0.141225,1.325048,1,1,0,0
51,1,1.557893,4.418863,1,1,0,0
52,1,0.712379,3.560516,1,1,0,0
53,1,0.675640,4.522650,1,1,0,0
54,1,0.823593,4.890909,1,1,0,0
55,1,0.560157,3.269728,1,1,0,0
56,0,0.002273,nan,0,0,0,0
57,1,0.425541,2.846516,1,1,0,0
58,1,0.266067,1.890192,1,1,0,0
59,1,0.933603,5.173017,1,1,0,0
60,1,1.190186,3.035110,1,1,0,0
61,1,0.079771,2.243066,1,1,0,0
62,1,0.144082,1.744590,1,1,0,0
63,1,1.010804,4.220700,1,1,0,0
64,1,0.558835,2.572696,1,1,0,0
65,1,0.437477,5.264489,1,1,0,0
66,1,0.222605,2.446463,1,1,0,0
67,1,1.090640,4.514239,1,1,0,0
68,1,0.534812,2.254322,1,1,0,0
69,1,0.379924,3.412337,1,1,0,0
70,1,0.304664,2.991424,1,1,0,0
71,1,0.594846,4.347121,1,1,0,0
72,1,0.454546,2.235431,1,1,0,0
73,1,0.209788,1.826712,1,1,0,0
74,1,0.857702,2.278197,1,1,0,0
75,1,0.636427,4.146168,1,1,0,0
76,1,1.160388,4.837199,1,1,0,0
77,1,0.054168,1.350663,1,1,0,0
78,1,0.368736,2.760621,1,1,0,0
79,1,0.956983,4.403906,1,1,0,0
80,1,2.041809,4.234062,1,1,0,0
81,1,0.390571,2.461491,1,1,0,0
82,1,0.714221,4.030390,1,1,0,0
83,1,0.138980,2.075395,1,1,0,0
84,1,0.164337,2.177019,1,1,0,0
85,1,0.244768,1.959560,1,1,0,0
86,1,0.277419,2.727449,1,1,0,0
87,1,0.985116,3.753701,1,1,0,0
88,1,0.425554,3.474515,1,1,0,0
89,1,0.107122,1.306172,1,1,0,0
90,1,0.708420,4.498216,1,1,0,0
91,1,0.142086,2.531747,1,1,0,0
92,1,0.793563,5.119688,1,1,0,0
93,1,0.644187,4.075533,1,1,0,0
94,1,0.504912,2.744244,1,1,0,0
95,1,0.176901,1.537709,1,1,0,0
96,1,0.724997,4.732172,1,1,0,0
97,1,0.474205,4.824536,1,1,0,0
98,1,0.955487,5.004242,1,1,0,0
99,1,0.664566,4.278823,1,1,0,0
100,1,0.167384,1.485193,1,1,0,0
101,1,0.281700,2.244630,1,1,0,0
102,1,0.107098,2.107406,1,1,0,0
103,1,0.593524,4.341667,1,1,0,0
104,1,0.431926,4.203661,1,1,0,0
105,1,0.336275,1.827134,1,1,0,0
106,1,0.846312,2.660631,1,1,0,0
107,1,0.090238,1.260491,1,1,0,0
108,1,0.227670,2.518515,1,1,0,0
109,1,2.667884,3.864904,1,1,0,0
110,1,1.165231,4.877305,1,1,0,0
111,1,0.300535,2.297391,1,1,0,0
112,1,0.509690,4.561806,1,1,0,0
113,1,1.234674,3.954985,1,1,0,0
114,1,0.195058,1.944373,1,1,0,0
115,1,1.900407,7.527084,1,1,0,0
116,1,0.308149,2.813012,1,1,0,0
117,0,0.003308,nan,0,0,0,0
118,1,0.938896,3.123749,1,1,0,0
119,1,1.851212,6.773912,1,1,0,0
120,1,0.895963,2.669194,1,1,0,0
121,1,0.249888,1.501300,1,1,0,0
122,1,0.323829,3.224987,1,1,0,0
123,1,1.023949,4.976302,1,1,0,0
124,1,0.326143,3.969721,1,1,0,0
125,1,0.380926,3.303581,1,1,0,0
126,1,0.264487,2.008794,1,1,0,0
127,1,0.785988,4.012964,1,1,0,0
128,0,30.057420,nan,0,0,0,1
129,1,0.372642,2.642259,1,1,0,0
130,1,1.473202,6.572881,1,1,0,0
131,1,1.037599,1.837086,1,1,0,0
132,1,0.506123,3.555738,1,1,0,0
133,1,0.542155,2.764460,1,1,0,0
134,1,0.092181,1.492469,1,1,0,0
135,1,0.355783,3.214971,1,1,0,0
136,1,0.215101,1.150443,1,1,0,0
137,1,0.902495,3.820565,1,1,0,0
138,1,0.406579,2.759510,1,1,0,0
139,1,0.760245,2.717046,1,1,0,0
140,1,0.536142,1.948593,1,1,0,0
141,1,0.541156,4.459570,1,1,0,0
142,1,0.538181,4.218918,1,1,0,0
143,1,0.549070,3.016801,1,1,0,0
144,1,0.548050,2.529998,1,1,0,0
145,1,0.420931,2.487825,1,1,0,0
146,1,1.040399,5.009739,1,1,0,0
147,1,0.572685,5.210780,1,1,0,0
148,1,0.473557,2.043905,1,1,0,0
149,1,0.158872,1.623748,1,1,0,0
150,0,30.059876,nan,0,0,0,1
151,1,0.255374,2.009383,1,1,0,0
152,1,0.364406,2.181002,1,1,0,0
153,1,0.157045,1.863100,1,1,0,0
154,0,0.002248,nan,0,0,0,0
155,1,0.260609,2.379528,1,1,0,0
156,1,0.310520,2.939035,1,1,0,0
157,0,0.002329,nan,0,0,0,0
158,0,30.058752,nan,1,0,0,1
159,1,1.089166,3.824308,1,1,0,0
160,1,0.119905,1.693712,1,1,0,0
161,1,0.620382,5.264156,1,1,0,0
162,1,0.679465,3.855961,1,1,0,0
163,1,0.563064,4.727141,1,1,0,0
164,1,0.035111,1.627466,1,1,0,0
165,1,0.670746,3.427450,1,1,0,0
166,1,0.329261,2.748455,1,1,0,0
167,1,0.581409,2.330635,1,1,0,0
168,1,0.440471,3.831195,1,1,0,0
169,1,0.443575,2.937412,1,1,0,0
170,1,0.208721,2.874011,1,1,0,0
171,1,0.124001,1.313206,1,1,0,0
172,1,4.889288,3.610648,1,1,0,0
173,0,0.001195,nan,0,0,0,0
174,1,0.423507,2.307720,1,1,0,0
175,0,30.070730,nan,1,0,0,1
176,0,30.019848,nan,0,0,0,1
177,1,0.171471,1.576788,1,1,0,0
178,1,0.545501,3.711283,1,1,0,0
179,1,0.141050,1.583103,1,1,0,0
180,1,1.230998,5.006418,1,1,0,0
181,1,0.548324,2.844348,1,1,0,0
182,1,0.274506,2.746047,1,1,0,0
183,1,0.161125,2.026661,1,1,0,0
184,1,0.129354,1.055989,1,1,0,0
185,1,0.205448,2.414457,1,1,0,0
186,1,0.160359,1.812965,1,1,0,0
187,1,0.417050,3.624972,1,1,0,0
188,1,0.055191,1.217241,1,1,0,0
189,0,30.041101,nan,1,0,0,1
190,1,0.949620,4.098559,1,1,0,0
191,0,30.062786,nan,0,0,0,1
192,1,0.105990,0.962413,1,1,0,0
193,1,1.054076,6.866308,1,1,0,0
194,1,0.537962,2.763897,1,1,0,0
195,1,0.280545,2.219929,1,1,0,0
196,1,0.868624,2.241278,1,1,0,0
197,1,0.278498,2.977821,1,1,0,0
198,1,0.046736,1.173552,1,1,0,0
199,1,0.231841,2.634432,1,1,0,0
200,1,0.144256,1.515193,1,1,0,0
201,1,5.853246,7.683111,1,1,0,0
202,1,0.882615,4.604825,1,1,0,0
203,1,1.259050,4.351858,1,1,0,0
204,1,0.072169,1.451789,1,1,0,0
205,1,0.131368,1.233590,1,1,0,0
206,1,0.323888,4.170707,1,1,0,0
207,1,0.431902,2.417432,1,1,0,0
208,1,0.726450,3.092432,1,1,0,0
209,1,0.722759,2.868889,1,1,0,0
210,1,0.184349,2.165955,1,1,0,0
211,1,0.618959,4.105964,1,1,0,0
212,1,0.458229,3.835735,1,1,0,0
213,1,1.899614,6.284655,1,1,0,0
214,1,0.273985,2.654886,1,1,0,0
215,1,0.707933,3.057159,1,1,0,0
216,1,0.934576,4.904698,1,1,0,0
217,1,0.287843,1.995738,1,1,0,0
218,1,0.110103,2.330047,1,1,0,0
219,1,2.437744,4.309251,1,1,0,0
220,1,0.338441,4.211194,1,1,0,0
221,1,0.289689,1.474172,1,1,0,0
222,1,0.229780,2.249348,1,1,0,0
223,1,0.946675,2.478463,1,1,0,0
224,1,0.460424,3.068463,1,1,0,0
225,1,0.147464,1.391087,1,1,0,0
226,1,0.167415,1.365730,1,1,0,0
227,1,1.126810,6.319640,1,1,0,0
228,1,1.294608,2.682105,1,1,0,0
229,1,0.786791,5.162849,1,1,0,0
