idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,0.987579,2.091958,1,1,0,0
1,1,0.666537,2.823272,1,1,0,0
2,1,0.037128,1.570906,1,1,0,0
3,1,0.071717,1.915976,1,1,0,0
4,1,2.526152,4.906271,1,1,0,0
5,1,0.198797,1.900588,1,1,0,0
6,1,0.831012,3.368623,1,1,0,0
7,1,0.180445,1.613858,1,1,0,0
8,1,0.138817,2.079164,1,1,0,0
9,1,2.408880,6.481415,1,1,0,0
10,1,0.796007,2.322142,1,1,0,0
11,1,1.426692,4.347014,1,1,0,0
12,1,2.050215,3.643201,1,1,0,0
13,1,0.489396,1.825248,1,1,0,0
14,1,0.531941,2.088710,1,1,0,0
15,1,0.574808,2.476278,1,1,0,0
16,1,0.352410,2.243303,1,1,0,0
17,1,2.087255,3.410253,1,1,0,0
18,1,0.125354,2.009511,1,1,0,0
19,1,1.104510,3.815539,1,1,0,0
20,1,0.131399,1.191239,1,1,0,0
21,1,1.490061,3.493085,1,1,0,0
22,1,0.035721,1.177504,1,1,0,0
23,1,0.943220,3.805746,1,1,0,0
24,1,1.745346,4.000287,1,1,0,0
25,1,0.147770,1.643265,1,1,0,0
26,1,0.145422,1.775749,1,1,0,0
27,1,1.771979,3.893282,1,1,0,0
28,1,0.266738,3.105350,1,1,0,0
29,1,1.240606,3.181122,1,1,0,0
30,1,0.085108,1.730928,1,1,0,0
31,1,0.171105,1.868010,1,1,0,0
32,1,2.616132,6.091053,1,1,0,0
33,1,0.079352,2.311832,1,1,0,0
34,1,0.180179,2.298833,1,1,0,0
35,1,0.509710,1.985976,1,1,0,0
36,1,0.372090,2.070239,1,1,0,0
37,1,0.326718,1.632161,1,1,0,0
38,1,0.055133,1.365220,1,1,0,0
39,1,0.116260,1.727611,1,1,0,0
40,1,1.471062,2.979113,1,1,0,0
41,1,0.225383,1.553056,1,1,0,0
42,1,0.579053,2.245514,1,1,0,0
43,1,0.075540,1.438091,1,1,0,0
44,1,0.944797,2.609418,1,1,0,0
45,1,2.917635,4.870113,1,1,0,0
46,1,0.639219,2.539798,1,1,0,0
47,1,0.173251,1.373583,1,1,0,0
48,1,0.091953,1.790507,1,1,0,0
49,1,0.131357,1.569962,1,1,0,0
50,1,0.541762,1.064537,1,1,0,0
51,1,0.314622,2.477006,1,1,0,0
52,1,0.197710,1.535633,1,1,0,0
53,1,2.006949,3.899678,1,1,0,0
54,1,0.491265,2.340630,1,1,0,0
55,1,0.453274,2.448308,1,1,0,0
56,1,0.167612,1.486994,1,1,0,0
57,1,0.103186,1.833002,1,1,0,0
58,1,0.796521,3.334689,1,1,0,0
59,1,0.369610,2.279080,1,1,0,0
60,1,1.314440,4.523367,1,1,0,0
61,1,0.054721,1.315056,1,1,0,0
62,1,0.590421,1.603951,1,1,0,0
63,1,0.628009,4.048725,1,1,0,0
64,1,0.489136,2.264551,1,1,0,0
65,1,0.138360,1.354852,1,1,0,0
66,1,1.634068,4.682781,1,1,0,0
67,1,0.413634,2.005301,1,1,0,0
68,1,0.330119,2.324204,1,1,0,0
69,1,2.741963,4.459489,1,1,0,0
70,1,0.317567,2.427552,1,1,0,0
71,1,0.201390,2.408195,1,1,0,0
72,1,0.165390,2.219362,1,1,0,0
73,1,0.514261,3.026364,1,1,0,0
74,1,0.907757,3.669874,1,1,0,0
75,1,0.151311,1.094664,1,1,0,0
76,1,0.380076,3.648986,1,1,0,0
77,1,1.844978,3.259496,1,1,0,0
78,1,0.135566,2.065316,1,1,0,0
79,1,0.614739,3.322700,1,1,0,0
80,1,0.230262,1.552217,1,1,0,0
81,1,0.339861,2.272005,1,1,0,0
82,1,0.851911,1.459961,1,1,0,0
83,1,0.370178,2.138750,1,1,0,0
84,1,0.253290,2.121641,1,1,0,0
85,1,0.433592,1.573052,1,1,0,0
86,1,0.335729,3.311819,1,1,0,0
87,1,0.142410,1.423355,1,1,0,0
88,1,0.261240,2.384654,1,1,0,0
89,1,0.309879,2.159384,1,1,0,0
90,1,1.240313,5.214161,1,1,0,0
91,1,0.712656,3.106268,1,1,0,0
92,1,0.357377,1.532570,1,1,0,0
93,1,2.982528,4.825213,1,1,0,0
94,1,0.791128,2.194608,1,1,0,0
95,1,0.374991,2.092442,1,1,0,0
96,1,1.071734,5.085227,1,1,0,0
97,1,1.329873,3.566229,1,1,0,0
98,1,0.803833,3.381559,1,1,0,0
99,1,0.707417,1.782009,1,1,0,0
100,1,0.129974,2.090432,1,1,0,0
101,1,0.396765,2.352700,1,1,0,0
102,1,0.238379,2.263332,1,1,0,0
103,1,0.703596,2.210009,1,1,0,0
104,1,0.100554,2.412681,1,1,0,0
105,1,0.479950,2.779093,1,1,0,0
106,1,1.551120,4.320935,1,1,0,0
107,1,0.476248,2.014214,1,1,0,0
108,1,0.279416,1.393213,1,1,0,0
109,1,0.241958,2.128334,1,1,0,0
110,1,0.181197,1.959645,1,1,0,0
111,1,0.435189,1.353780,1,1,0,0
112,1,0.466956,2.364356,1,1,0,0
113,1,0.448613,1.854989,1,1,0,0
114,1,0.059358,1.537183,1,1,0,0
115,1,0.319082,2.293505,1,1,0,0
116,1,1.774704,4.615030,1,1,0,0
117,1,0.409865,1.438895,1,1,0,0
118,1,0.260058,1.637142,1,1,0,0
119,1,0.239004,1.902190,1,1,0,0
120,1,0.252385,1.786451,1,1,0,0
121,1,0.904374,1.758599,1,1,0,0
122,1,0.136843,1.528756,1,1,0,0
123,1,0.222508,2.132898,1,1,0,0
124,1,0.910625,3.136851,1,1,0,0
125,1,0.922024,4.673433,1,1,0,0
126,1,0.253713,2.138595,1,1,0,0
127,1,1.726201,5.125666,1,1,0,0
128,1,0.324657,2.045963,1,1,0,0
129,1,0.294434,2.081621,1,1,0,0
130,1,0.085529,2.442753,1,1,0,0
131,1,0.607402,2.597630,1,1,0,0
132,1,0.230770,1.964996,1,1,0,0
133,1,0.592816,3.311816,1,1,0,0
134,1,0.240018,1.929378,1,1,0,0
135,1,1.061505,3.802759,1,1,0,0
136,1,0.863731,2.031259,1,1,0,0
137,1,0.285166,1.962737,1,1,0,0
138,1,0.824361,3.350653,1,1,0,0
139,1,0.308408,2.874070,1,1,0,0
140,1,0.291747,2.424722,1,1,0,0
141,1,0.466837,2.248371,1,1,0,0
142,1,0.853535,2.526631,1,1,0,0
143,1,0.617850,1.999951,1,1,0,0
144,1,0.579342,2.077047,1,1,0,0
145,1,1.254606,4.047863,1,1,0,0
146,1,1.402829,1.456087,1,1,0,0
147,1,0.196768,2.776695,1,1,0,0
148,1,0.348900,1.932480,1,1,0,0
149,1,2.193663,5.208881,1,1,0,0
150,1,0.096485,1.411922,1,1,0,0
151,1,0.256905,1.641991,1,1,0,0
152,1,0.538651,2.211533,1,1,0,0
153,1,0.141700,1.614321,1,1,0,0
154,1,0.790336,3.623555,1,1,0,0
155,1,0.743583,3.525877,1,1,0,0
156,1,1.914102,3.977451,1,1,0,0
157,1,0.258001,3.483656,1,1,0,0
158,1,0.189414,2.198028,1,1,0,0
159,1,0.432422,1.598982,1,1,0,0
160,1,0.609981,4.505464,1,1,0,0
161,1,0.052004,1.986592,1,1,0,0
162,1,0.873348,2.787959,1,1,0,0
163,1,0.482347,2.270685,1,1,0,0
164,1,0.682841,1.943832,1,1,0,0
165,1,0.437609,1.151988,1,1,0,0
166,1,0.798145,3.946123,1,1,0,0
167,1,0.312013,1.583267,1,1,0,0
168,1,0.071002,2.190149,1,1,0,0
169,1,0.071060,1.298686,1,1,0,0
170,1,1.208803,4.298999,1,1,0,0
171,1,0.427909,3.845648,1,1,0,0
172,1,1.625280,6.120720,1,1,0,0
173,1,0.311966,1.888849,1,1,0,0
174,1,0.327549,2.032171,1,1,0,0
175,1,0.324825,2.705994,1,1,0,0
176,1,0.039204,1.827013,1,1,0,0
177,1,1.526723,3.245667,1,1,0,0
178,1,0.198456,1.406703,1,1,0,0
179,1,0.326062,2.764871,1,1,0,0
180,1,0.787487,2.684775,1,1,0,0
181,1,1.639956,3.164290,1,1,0,0
182,1,0.370830,1.369161,1,1,0,0
183,1,0.106869,1.754216,1,1,0,0
184,1,0.659718,2.414801,1,1,0,0
185,1,0.318414,2.300914,1,1,0,0
186,1,0.529671,2.123135,1,1,0,0
187,1,0.635237,3.526460,1,1,0,0
188,1,0.303258,1.483725,1,1,0,0
189,1,0.075871,1.372135,1,1,0,0
190,1,0.602946,2.996896,1,1,0,0
191,1,0.094750,1.173525,1,1,0,0
192,1,0.869008,2.461712,1,1,0,0
193,1,0.131974,1.747791,1,1,0,0
194,1,1.458473,3.905685,1,1,0,0
195,1,0.382108,2.410220,1,1,0,0
196,1,0.127987,2.346097,1,1,0,0
197,1,1.129045,3.749497,1,1,0,0
198,1,0.378292,1.741230,1,1,0,0
199,1,0.326571,2.081043,1,1,0,0
200,1,0.369989,2.176612,1,1,0,0
201,1,0.052993,1.329076,1,1,0,0
202,1,0.222005,2.565355,1,1,0,0
203,1,0.659922,2.250465,1,1,0,0
204,1,0.046319,1.825679,1,1,0,0
205,1,0.092539,1.588770,1,1,0,0
206,1,1.323753,3.600288,1,1,0,0
207,1,0.412979,1.885722,1,1,0,0
208,1,0.272513,2.822450,1,1,0,0
209,1,0.650820,3.159941,1,1,0,0
210,1,0.247705,2.184142,1,1,0,0
211,1,0.193944,2.107199,1,1,0,0
212,1,3.130275,4.633278,1,1,0,0
213,1,0.089276,1.341166,1,1,0,0
214,1,0.456035,3.505391,1,1,0,0
215,1,1.107826,4.106411,1,1,0,0
216,1,0.329405,3.268222,1,1,0,0
217,1,0.231048,2.421223,1,1,0,0
218,1,0.158097,2.379312,1,1,0,0
219,1,0.259429,2.046025,1,1,0,0
220,1,0.251691,2.521818,1,1,0,0
221,1,0.046636,1.334935,1,1,0,0
222,1,0.226865,2.269401,1,1,0,0
223,1,0.141296,2.242340,1,1,0,0
224,1,1.591493,2.693274,1,1,0,0
225,1,1.434642,4.149522,1,1,0,0
226,1,0.622491,3.194663,1,1,0,0
227,1,0.376200,2.754715,1,1,0,0
228,1,0.155234,1.445447,1,1,0,0
229,1,0.361647,2.175636,1,1,0,0
230,1,0.088865,2.219186,1,1,0,0
231,1,0.111990,1.915636,1,1,0,0
232,1,0.531324,1.562363,1,1,0,0
233,1,1.031138,2.979532,1,1,0,0
234,1,1.637179,4.054425,1,1,0,0
235,1,1.637138,1.536044,1,1,0,0
236,1,0.961558,3.093775,1,1,0,0
237,1,0.402528,2.269610,1,1,0,0
238,1,0.044597,2.329945,1,1,0,0
239,1,0.796161,2.996548,1,1,0,0
240,1,0.571952,2.025377,1,1,0,0
241,1,0.224705,2.428487,1,1,0,0
242,1,0.382661,3.957667,1,1,0,0
243,1,0.381428,3.396465,1,1,0,0
244,1,0.103851,1.730500,1,1,0,0
245,1,0.626807,2.921021,1,1,0,0
246,1,0.403373,2.180966,1,1,0,0
247,1,0.611970,2.472444,1,1,0,0
248,1,1.777947,5.128230,1,1,0,0
249,1,1.225073,2.808928,1,1,0,0
250,1,0.172414,1.185666,1,1,0,0
251,1,0.515782,2.155886,1,1,0,0
252,1,3.780295,7.384741,1,1,0,0
253,1,0.622462,2.187202,1,1,0,0
254,1,0.070046,1.433836,1,1,0,0
255,1,0.274650,1.485571,1,1,0,0
256,1,0.449718,1.474200,1,1,0,0
257,1,0.366732,2.225063,1,1,0,0
258,1,1.241788,2.887665,1,1,0,0
259,1,0.143634,1.719151,1,1,0,0
260,1,0.546435,1.972004,1,1,0,0
261,1,0.200077,1.342959,1,1,0,0
262,1,0.092109,1.315740,1,1,0,0
263,1,0.301204,3.280148,1,1,0,0
264,1,0.112255,1.757310,1,1,0,0
265,1,2.403312,7.337461,1,1,0,0
266,1,5.752768,7.293372,1,1,0,0
267,1,0.352619,1.585618,1,1,0,0
268,1,0.592373,1.356700,1,1,0,0
269,1,0.352908,2.015801,1,1,0,0
270,1,0.506685,2.362778,1,1,0,0
271,1,0.278550,2.217994,1,1,0,0
272,1,0.212301,1.845266,1,1,0,0
273,1,0.624900,4.787273,1,1,0,0
274,1,0.080460,1.381797,1,1,0,0
275,1,0.197340,2.074530,1,1,0,0
276,1,0.089405,2.439996,1,1,0,0
277,1,0.286819,1.964175,1,1,0,0
278,1,0.019119,1.315794,1,1,0,0
279,1,0.542006,3.587622,1,1,0,0
280,1,0.250825,1.828173,1,1,0,0
281,1,0.166553,1.654285,1,1,0,0
282,1,0.204482,2.330806,1,1,0,0
283,1,0.119735,1.930637,1,1,0,0
284,1,0.890468,2.739404,1,1,0,0
285,1,0.200127,2.062556,1,1,0,0
286,1,0.884936,3.416719,1,1,0,0
287,1,0.574877,4.117040,1,1,0,0
288,1,0.466344,2.910270,1,1,0,0
289,1,0.323110,2.178103,1,1,0,0
290,1,0.966903,2.345325,1,1,0,0
291,1,0.485046,2.876732,1,1,0,0
292,1,0.283235,3.012055,1,1,0,0
293,1,0.963967,2.384752,1,1,0,0
294,1,0.169295,2.440619,1,1,0,0
295,1,1.925704,2.457117,1,1,0,0
296,1,0.246426,1.606647,1,1,0,0
297,1,0.294893,1.535473,1,1,0,0
298,1,0.159742,1.445799,1,1,0,0
299,1,0.381861,2.390792,1,1,0,0
300,1,0.320212,1.749543,1,1,0,0
301,1,0.373920,1.846030,1,1,0,0
302,1,0.281542,1.863228,1,1,0,0
303,1,2.045056,3.487795,1,1,0,0
304,1,0.203450,1.455437,1,1,0,0
305,1,0.181809,1.435119,1,1,0,0
306,1,0.386220,2.460703,1,1,0,0
307,1,0.403552,1.839597,1,1,0,0
308,1,1.579853,2.505531,1,1,0,0
309,1,2.199154,6.123080,1,1,0,0
310,1,0.326579,2.591602,1,1,0,0
311,1,0.120729,1.570978,1,1,0,0
312,1,0.138850,2.244744,1,1,0,0
313,1,0.279320,2.898586,1,1,0,0
314,1,0.615662,2.371927,1,1,0,0
315,1,0.291753,2.346779,1,1,0,0
316,1,0.383221,1.895773,1,1,0,0
317,1,0.475726,2.447118,1,1,0,0
318,1,0.172575,2.173336,1,1,0,0
319,1,0.310792,1.615477,1,1,0,0
320,1,0.115805,2.334649,1,1,0,0
321,1,0.497413,1.445919,1,1,0,0
322,1,0.180472,1.895671,1,1,0,0
323,1,0.153266,2.092757,1,1,0,0
324,1,0.191961,1.237810,1,1,0,0
325,1,0.461850,2.046898,1,1,0,0
326,1,0.152737,1.433202,1,1,0,0
327,1,0.687598,3.146786,1,1,0,0
328,1,0.153532,1.118217,1,1,0,0
329,1,0.485873,2.318026,1,1,0,0
330,1,0.245223,2.759917,1,1,0,0
331,1,0.108145,2.201902,1,1,0,0
332,1,1.150159,3.269282,1,1,0,0
333,1,0.063725,2.000997,1,1,0,0
334,1,0.305023,2.169343,1,1,0,0
335,1,0.544675,2.810022,1,1,0,0
336,1,1.223799,3.601151,1,1,0,0
337,1,1.027874,2.187987,1,1,0,0
338,1,0.129131,1.645826,1,1,0,0
339,1,0.174323,1.754786,1,1,0,0
340,1,0.142872,1.487934,1,1,0,0
341,1,1.177288,4.168776,1,1,0,0
342,1,2.028233,4.163865,1,1,0,0
343,1,0.403737,2.556312,1,1,0,0
344,1,0.426074,1.692241,1,1,0,0
345,1,0.200872,1.976749,1,1,0,0
346,1,3.497456,4.186250,1,1,0,0
347,1,0.208873,1.546014,1,1,0,0
348,1,0.255504,2.583467,1,1,0,0
349,1,0.469420,1.490134,1,1,0,0
350,1,0.429272,1.540650,1,1,0,0
351,1,0.092895,1.440726,1,1,0,0
352,1,0.039792,1.651423,1,1,0,0
353,1,0.550163,4.070992,1,1,0,0
354,1,0.071363,2.312205,1,1,0,0
355,1,0.364251,2.146489,1,1,0,0
356,1,0.233515,2.234852,1,1,0,0
357,1,0.380597,2.836448,1,1,0,0
358,1,0.892307,3.572923,1,1,0,0
359,1,0.894074,3.404944,1,1,0,0
360,1,0.915974,2.728737,1,1,0,0
361,1,0.092013,1.327830,1,1,0,0
362,1,0.145496,1.758754,1,1,0,0
363,1,0.694146,2.441749,1,1,0,0
364,1,0.151734,2.151083,1,1,0,0
365,1,0.751484,2.775375,1,1,0,0
366,1,1.298776,3.339327,1,1,0,0
367,1,0.170265,1.799770,1,1,0,0
368,1,0.219139,2.202416,1,1,0,0
369,1,0.864999,2.651961,1,1,0,0
370,1,0.308327,1.215839,1,1,0,0
371,1,0.467755,2.332842,1,1,0,0
372,1,1.054846,3.015775,1,1,0,0
373,1,0.290844,1.850413,1,1,0,0
374,1,0.247199,2.474283,1,1,0,0
375,1,1.296577,3.309024,1,1,0,0
376,1,0.140177,1.733116,1,1,0,0
377,0,30.036314,nan,0,0,0,1
378,1,0.766232,3.032184,1,1,0,0
379,1,0.256827,2.795943,1,1,0,0
380,1,0.688974,2.757568,1,1,0,0
381,1,0.248697,1.775673,1,1,0,0
382,1,0.872451,1.775954,1,1,0,0
383,1,0.480175,2.091923,1,1,0,0
384,1,0.387968,3.151300,1,1,0,0
385,1,1.025908,6.353690,1,1,0,0
386,1,0.501285,2.693567,1,1,0,0
387,1,0.224870,1.306036,1,1,0,0
388,1,0.041294,1.261994,1,1,0,0
389,1,0.061493,1.233143,1,1,0,0
390,1,0.295978,1.749774,1,1,0,0
391,1,0.043520,1.406655,1,1,0,0
392,1,0.424588,3.108689,1,1,0,0
393,1,0.200203,1.959014,1,1,0,0
394,1,0.829630,1.973809,1,1,0,0
395,1,2.902754,6.459322,1,1,0,0
396,1,0.288683,2.124303,1,1,0,0
397,1,0.080559,1.242362,1,1,0,0
398,1,0.152249,2.370603,1,1,0,0
399,1,0.309659,1.315490,1,1,0,0
