idx,success,time_s,path_length,endpoints_valid,exact,collision
0,1,0.898657,3.972899,1,1,0
1,1,0.563091,4.154556,1,1,0
2,1,1.115968,5.604717,1,1,0
3,1,0.207077,1.909033,1,1,0
4,1,0.573642,3.724767,1,1,0
5,1,0.222042,1.828691,1,1,0
6,1,1.171850,5.324231,1,1,0
7,1,0.201617,2.059282,1,1,0
8,1,0.614543,5.345695,1,1,0
9,0,0.002241,nan,0,0,0
10,1,0.263477,1.991129,1,1,0
11,1,0.178845,2.497279,1,1,0
12,1,0.117199,2.225841,1,1,0
13,0,0.003334,nan,0,0,0
14,1,0.218266,2.609071,1,1,0
15,1,0.236863,2.134271,1,1,0
16,1,0.174236,2.077087,1,1,0
17,1,0.174529,2.354633,1,1,0
18,1,0.181401,1.510607,1,1,0
19,1,0.475090,3.896320,1,1,0
20,1,0.026630,1.138484,1,1,0
21,1,0.521916,3.991380,1,1,0
22,1,0.999347,5.716974,1,1,0
23,1,0.078610,1.376242,1,1,0
24,1,0.323967,3.298369,1,1,0
25,1,0.119033,1.510794,1,1,0
26,1,0.246025,3.047098,1,1,0
27,1,0.184207,1.903863,1,1,0
28,1,0.137160,2.290722,1,1,0
29,1,0.372217,3.503818,1,1,0
30,1,0.194154,2.277744,1,1,0
31,1,0.375577,4.839796,1,1,0
32,1,0.319137,2.680758,1,1,0
33,1,0.144387,2.202254,1,1,0
34,1,0.256956,3.005044,1,1,0
35,1,0.164181,2.889418,1,1,0
36,0,5.023104,nan,0,0,0
37,1,0.235519,1.583749,1,1,0
38,1,0.301534,2.663234,1,1,0
39,1,0.123408,2.024771,1,1,0
40,1,0.048856,2.085621,1,1,0
41,1,0.133411,2.024561,1,1,0
42,1,0.109372,2.004838,1,1,0
43,1,0.256034,3.951345,1,1,0
44,1,0.085880,1.344646,1,1,0
45,1,0.201512,3.064069,1,1,0
46,1,0.147561,1.393591,1,1,0
47,1,0.157732,1.857388,1,1,0
48,0,0.008148,nan,0,0,0
49,1,0.465618,3.368460,1,1,0
50,1,0.094206,1.646468,1,1,0
51,1,0.356463,3.094083,1,1,0
52,1,0.299901,1.643296,1,1,0
53,1,0.333191,2.296920,1,1,0
54,1,0.312418,4.323046,1,1,0
55,1,0.570849,3.071794,1,1,0
56,1,0.226480,3.307019,1,1,0
57,1,0.965570,5.196050,1,1,0
58,1,0.092309,2.038661,1,1,0
59,1,0.181491,2.978653,1,1,0
60,1,0.117871,2.846643,1,1,0
61,1,0.140874,1.294594,1,1,0
62,1,0.371751,2.768132,1,1,0
63,1,0.600238,4.380512,1,1,0
64,1,0.111708,1.774005,1,1,0
65,1,0.077548,1.893683,1,1,0
66,1,0.220716,2.364826,1,1,0
67,0,5.021033,nan,0,0,0
68,1,0.225738,1.964384,1,1,0
69,1,0.330622,3.471774,1,1,0
70,1,0.478055,3.893534,1,1,0
71,1,0.783204,5.937045,1,1,0
72,1,0.309794,2.248443,1,1,0
73,1,0.221690,3.576863,1,1,0
74,1,0.127113,2.121867,1,1,0
75,1,0.211637,2.083998,1,1,0
76,1,0.189793,2.292353,1,1,0
77,1,0.414907,1.612378,1,1,0
78,1,0.258363,1.720483,1,1,0
79,1,0.532903,3.478033,1,1,0
80,1,0.319511,4.219673,1,1,0
81,1,0.099732,1.744304,1,1,0
82,1,0.686195,4.145274,1,1,0
83,1,0.358625,2.968567,1,1,0
84,1,0.133235,1.923715,1,1,0
85,1,0.440286,3.059103,1,1,0
86,1,0.424984,4.239822,1,1,0
87,1,0.335550,3.247212,1,1,0
88,1,0.054073,1.722980,1,1,0
89,1,0.282566,2.119317,1,1,0
90,1,0.023618,2.021851,1,1,0
91,1,0.092081,2.461408,1,1,0
92,1,0.386111,3.389530,1,1,0
93,0,0.001169,nan,0,0,0
94,1,0.621595,3.723124,1,1,0
95,1,0.489341,4.093176,1,1,0
96,1,0.492780,5.709032,1,1,0
97,1,0.084010,1.394804,1,1,0
98,1,0.080722,1.139785,1,1,0
99,1,0.099849,1.491991,1,1,0
