idx,success,time_s,path_length,endpoints_valid,exact,collision,over_limit
0,1,0.474821,5.665218,1,1,0,0
1,1,0.306830,3.569267,1,1,0,0
2,1,0.191897,2.017581,1,1,0,0
3,1,0.124011,2.200049,1,1,0,0
4,1,0.192306,3.151172,1,1,0,0
5,1,0.903260,6.808348,1,1,0,0
6,1,0.284543,4.471137,1,1,0,0
7,1,0.119821,2.165289,1,1,0,0
8,1,0.041112,2.135145,1,1,0,0
9,1,0.506026,3.649142,1,1,0,0
10,1,0.039249,1.159726,1,1,0,0
11,1,0.711627,3.815151,1,1,0,0
12,1,0.066538,1.560395,1,1,0,0
13,1,0.019125,2.331145,1,1,0,0
14,1,0.024475,1.599921,1,1,0,0
15,1,0.174046,2.057900,1,1,0,0
16,1,0.047305,2.133243,1,1,0,0
17,1,0.219681,4.823935,1,1,0,0
18,1,0.113929,1.368878,1,1,0,0
19,1,0.022437,1.883136,1,1,0,0
20,1,0.151743,2.958494,1,1,0,0
21,1,0.046299,2.043102,1,1,0,0
22,1,0.005407,1.232996,1,1,0,0
23,1,0.072491,1.964474,1,1,0,0
24,1,0.122616,2.343783,1,1,0,0
25,1,0.032783,1.590993,1,1,0,0
26,1,0.040544,2.672078,1,1,0,0
27,1,0.160925,3.942175,1,1,0,0
28,1,0.029298,1.864883,1,1,0,0
29,1,0.165949,3.085745,1,1,0,0
30,1,0.127910,2.981876,1,1,0,0
31,1,0.532852,5.171476,1,1,0,0
32,1,0.078123,1.716692,1,1,0,0
33,1,0.017316,1.658286,1,1,0,0
34,1,0.347061,4.312527,1,1,0,0
35,1,0.456971,7.247447,1,1,0,0
36,1,0.104103,2.653209,1,1,0,0
37,1,0.212728,2.151371,1,1,0,0
38,1,0.023417,2.187242,1,1,0,0
39,1,0.079098,2.132297,1,1,0,0
40,1,0.039208,1.577552,1,1,0,0
41,1,0.731749,4.309175,1,1,0,0
42,1,0.052667,2.278614,1,1,0,0
43,1,0.199020,2.413599,1,1,0,0
44,1,0.078688,1.572199,1,1,0,0
45,1,0.035925,2.522724,1,1,0,0
46,1,0.168727,1.684615,1,1,0,0
47,1,0.063497,1.325283,1,1,0,0
48,1,0.103430,1.410773,1,1,0,0
49,1,0.040280,2.014957,1,1,0,0
50,1,0.250825,4.905013,1,1,0,0
51,1,0.141231,3.727296,1,1,0,0
52,1,0.153546,1.203934,1,1,0,0
53,1,0.370369,4.052388,1,1,0,0
54,1,1.422053,7.281464,1,1,0,0
55,1,0.084774,2.025075,1,1,0,0
56,1,0.043642,2.316931,1,1,0,0
57,1,0.021219,1.196383,1,1,0,0
58,1,0.051639,2.278313,1,1,0,0
59,1,0.050975,1.073232,1,1,0,0
60,1,0.145477,3.254861,1,1,0,0
61,1,0.231497,1.534497,1,1,0,0
62,1,0.687080,6.403791,1,1,0,0
63,1,0.028638,1.787795,1,1,0,0
64,1,0.054623,1.408462,1,1,0,0
65,1,0.095714,2.217243,1,1,0,0
66,1,0.142867,3.115943,1,1,0,0
67,1,0.049850,1.931970,1,1,0,0
68,1,0.035060,1.567632,1,1,0,0
69,1,0.051772,2.676199,1,1,0,0
70,1,0.064292,1.967480,1,1,0,0
71,1,0.103656,2.325449,1,1,0,0
72,1,0.088588,2.306470,1,1,0,0
73,1,0.032607,1.945659,1,1,0,0
74,1,0.143112,2.215146,1,1,0,0
75,1,0.145559,1.332300,1,1,0,0
76,1,0.113788,1.569977,1,1,0,0
77,1,0.204271,4.904365,1,1,0,0
78,1,0.010966,2.136737,1,1,0,0
79,1,0.016478,2.024195,1,1,0,0
80,1,0.075760,1.763756,1,1,0,0
81,1,0.237140,1.996864,1,1,0,0
82,1,0.501859,4.116742,1,1,0,0
83,1,0.014704,1.618080,1,1,0,0
84,1,0.036847,1.751467,1,1,0,0
85,1,0.017395,1.257116,1,1,0,0
86,1,0.096634,2.686042,1,1,0,0
87,1,0.127167,3.300867,1,1,0,0
88,1,0.090695,1.275320,1,1,0,0
89,1,0.259278,3.967591,1,1,0,0
90,1,0.207339,3.217811,1,1,0,0
91,1,0.041455,1.213948,1,1,0,0
92,1,0.202116,2.107683,1,1,0,0
93,1,0.118252,2.822945,1,1,0,0
94,1,0.680468,4.364497,1,1,0,0
95,1,0.048142,1.916039,1,1,0,0
96,1,0.194611,2.318671,1,1,0,0
97,1,0.060498,2.122517,1,1,0,0
98,1,0.015064,2.155482,1,1,0,0
99,1,0.318078,2.856910,1,1,0,0
100,1,0.262339,2.065897,1,1,0,0
101,1,0.013975,1.067045,1,1,0,0
102,1,0.174410,2.272233,1,1,0,0
103,1,0.487121,2.436773,1,1,0,0
104,1,0.193901,2.998307,1,1,0,0
105,1,0.562117,5.147409,1,1,0,0
106,1,0.225494,2.956968,1,1,0,0
107,1,0.886646,4.101865,1,1,0,0
108,1,0.025656,2.105495,1,1,0,0
109,1,0.206434,2.331391,1,1,0,0
110,1,0.415700,2.962818,1,1,0,0
111,1,0.013824,1.711143,1,1,0,0
112,1,0.025957,1.538247,1,1,0,0
113,1,0.075427,1.200869,1,1,0,0
114,1,0.042346,2.128221,1,1,0,0
115,1,0.065745,2.160732,1,1,0,0
116,1,0.018069,1.376190,1,1,0,0
117,1,0.033730,1.564277,1,1,0,0
118,1,0.236253,2.838128,1,1,0,0
119,1,0.051725,1.633605,1,1,0,0
120,1,0.026618,2.262937,1,1,0,0
121,1,0.169554,2.781002,1,1,0,0
122,1,0.491160,2.470011,1,1,0,0
123,1,0.009642,1.662031,1,1,0,0
124,1,0.018108,1.827355,1,1,0,0
125,1,0.244742,3.020783,1,1,0,0
126,1,0.005401,1.271923,1,1,0,0
127,1,0.054282,2.438335,1,1,0,0
128,1,0.182463,1.895922,1,1,0,0
129,1,0.048348,1.587448,1,1,0,0
130,1,0.073182,1.716846,1,1,0,0
131,1,0.216478,3.017008,1,1,0,0
132,1,0.134918,1.260704,1,1,0,0
133,1,0.914779,6.018296,1,1,0,0
134,1,1.069485,4.282259,1,1,0,0
135,1,0.107087,2.386855,1,1,0,0
136,1,0.011822,1.342927,1,1,0,0
137,1,0.128654,2.529750,1,1,0,0
138,1,0.395680,5.002332,1,1,0,0
139,1,0.013872,1.353849,1,1,0,0
140,1,0.127196,2.755898,1,1,0,0
141,1,0.194562,2.271561,1,1,0,0
142,1,0.027601,2.121944,1,1,0,0
143,1,0.145874,3.797189,1,1,0,0
144,1,0.892480,8.093406,1,1,0,0
145,1,0.053344,2.044671,1,1,0,0
146,1,0.072686,2.413533,1,1,0,0
