epoch,checkpoint,episodes,successes,collision,no_converge,success_rate
1,Model_Epoch_00001_ValLoss_7.513209e-01.pt,100,9,83,82,0.0900  (9.0%)
500,Model_Epoch_00500_ValLoss_3.058862e-02.pt,100,46,53,2,0.4600  (46.0%)
1000,Model_Epoch_01000_ValLoss_2.858974e-02.pt,100,66,33,6,0.6600  (66.0%)
1500,Model_Epoch_01500_ValLoss_2.585035e-02.pt,100,74,23,7,0.7400  (74.0%)
2000,Model_Epoch_02000_ValLoss_2.542905e-02.pt,100,80,14,11,0.8000  (80.0%)
2500,Model_Epoch_02500_ValLoss_2.554987e-02.pt,100,79,19,9,0.7900  (79.0%)
3000,Model_Epoch_03000_ValLoss_2.554522e-02.pt,100,74,18,13,0.7400  (74.0%)
3500,Model_Epoch_03500_ValLoss_2.535906e-02.pt,100,84,15,3,0.8400  (84.0%)
4000,Model_Epoch_04000_ValLoss_2.577199e-02.pt,100,78,18,10,0.7800  (78.0%)
4500,Model_Epoch_04500_ValLoss_2.742084e-02.pt,100,79,15,8,0.7900  (79.0%)
5000,Model_Epoch_05000_ValLoss_2.718928e-02.pt,100,81,16,11,0.8100  (81.0%)
5500,Model_Epoch_05500_ValLoss_2.447208e-02.pt,100,80,16,8,0.8000  (80.0%)
6000,Model_Epoch_06000_ValLoss_2.551396e-02.pt,100,75,17,13,0.7500  (75.0%)
6500,Model_Epoch_06500_ValLoss_2.643033e-02.pt,100,77,18,12,0.7700  (77.0%)
7000,Model_Epoch_07000_ValLoss_2.415492e-02.pt,100,76,19,10,0.7600  (76.0%)
7500,Model_Epoch_07500_ValLoss_2.529501e-02.pt,100,77,19,10,0.7700  (77.0%)
8000,Model_Epoch_08000_ValLoss_2.435083e-02.pt,100,77,18,10,0.7700  (77.0%)
