2026-06-29 00:03:55,799 INFO    MainThread:1091 [wandb_setup.py:_flush():81] Current SDK version is 0.27.1
2026-06-29 00:03:55,800 INFO    MainThread:1091 [wandb_setup.py:_flush():81] Configure stats pid to 1091
2026-06-29 00:03:55,800 INFO    MainThread:1091 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-06-29 00:03:55,800 INFO    MainThread:1091 [wandb_init.py:setup_run_log_directory():723] Logging user logs to /workspace/ntrl-demo/wandb/run-20260629_000355-imbfinwy/logs/debug.log
2026-06-29 00:03:55,800 INFO    MainThread:1091 [wandb_init.py:setup_run_log_directory():724] Logging internal logs to /workspace/ntrl-demo/wandb/run-20260629_000355-imbfinwy/logs/debug-internal.log
2026-06-29 00:03:55,800 INFO    MainThread:1091 [wandb_init.py:init():766] calling init triggers
2026-06-29 00:03:55,800 INFO    MainThread:1091 [wandb_init.py:init():771] wandb.init called with sweep_config: {}
config: {'task': '3dshape', 'dim': 6, 'data_path': 'datasets/3dshape/rectangle_env1', 'model_path': './Experiments/3dshape', 'device': 'cuda:0', 'train/Number of sample points': 200000.0, 'train/Batch Size': 2000, 'train/Validation Percentage': 10, 'train/Number of Epochs': 8000, 'train/Resampling Bounds': [0.1, 0.9], 'train/Print Every * Epoch': 1, 'train/Save Every * Epoch': 500, 'train/Learning Rate': 5e-05, 'train/Random Distance Sampling': True, 'train/Use Scheduler (bool)': False, '_wandb': {}}
2026-06-29 00:03:55,800 INFO    MainThread:1091 [wandb_init.py:init():814] starting backend
2026-06-29 00:03:55,800 INFO    MainThread:1091 [wandb_init.py:init():829] sending inform_init request
2026-06-29 00:03:55,984 INFO    MainThread:1091 [wandb_init.py:init():834] backend started and connected
2026-06-29 00:03:56,018 INFO    MainThread:1091 [wandb_init.py:init():904] updated telemetry
2026-06-29 00:03:56,021 INFO    MainThread:1091 [wandb_init.py:init():927] communicating run to backend with 90.0 second timeout
2026-06-29 00:03:56,272 INFO    MainThread:1091 [wandb_init.py:init():972] starting run threads in backend
2026-06-29 00:03:56,381 INFO    MainThread:1091 [wandb_run.py:_console_start():2509] atexit reg
2026-06-29 00:03:56,381 INFO    MainThread:1091 [wandb_run.py:_redirect():2359] redirect: wrap_raw
2026-06-29 00:03:56,381 INFO    MainThread:1091 [wandb_run.py:_redirect():2428] Wrapping output streams.
2026-06-29 00:03:56,381 INFO    MainThread:1091 [wandb_run.py:_redirect():2451] Redirects installed.
2026-06-29 00:03:56,385 INFO    MainThread:1091 [wandb_init.py:init():1010] run started, returning control to user process
